strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
300.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.6775,0.7442
305.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.6775,0.7442
310.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.6775,0.7442
315.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.6775,0.7454
320.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.6775,0.7442
325.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.622,0.7442
330.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,0.6775,0.7442
335.0,0.0,0.0,0.0,0,0,1.0,-1E-05,,,,,,,Regular,0.6775,0.7442
340.0,0.0,0.0,0.0,0,0,1.0,-1E-05,,,,,,,Regular,0.6775,0.7454
345.0,0.0,0.0,0.0,0,0,1.0,-1E-05,,,,,,,Regular,0.6775,0.7442
350.0,0.0,0.0,0.0,0,0,1.0,-1E-05,,,,,,,Regular,0.622,0.7442
355.0,0.0,0.0,0.0,0,0,1.0,-2E-05,,,,,,,Regular,0.6775,0.7442
360.0,0.0,0.0,0.0,0,0,0.99999,-3E-05,,,,,,,Regular,0.6775,0.7442
365.0,0.0,0.0,0.0,0,0,0.99999,-4E-05,,,,,,,Regular,0.6775,0.7442
370.0,0.0,0.0,0.0,0,0,0.99999,-5E-05,,,,,,,Regular,0.6775,0.7442
375.0,0.0,0.0,0.0,0,0,0.99999,-7E-05,,,,,,,Regular,0.6775,0.7454
380.0,0.0,0.0,0.0,0,0,0.99998,-9E-05,,,,,,,Regular,0.6775,0.7442
385.0,0.0,0.0,0.0,0,0,0.99999,-0.00012,,,,,,,Regular,0.622,0.7454
390.0,0.0,0.0,0.0,0,0,0.99996,-0.00015,,,,,,,Regular,0.6775,0.7442
395.0,0.0,0.0,0.0,0,0,0.99999,-0.00018,,,,,,,Regular,0.6137,0.7402
400.0,0.0,0.0,0.0,0,0,0.99999,-0.00021,,,,,,,Regular,0.6053,0.7349
405.0,0.0,0.0,0.0,0,0,0.99925,-0.00024,,,,,,,Regular,0.8055,0.7285
410.0,0.0,0.0,0.0,0,0,0.99897,-0.00028,,,,,,,Regular,0.8144,0.7213
415.0,0.0,0.0,0.0,0,0,0.9987,-0.00031,,,,,,,Regular,0.8179,0.7136
420.0,0.0,0.0,0.0,0,0,0.99844,-0.00034,,,,,,,Regular,0.8181,0.7054
425.0,0.0,0.0,0.0,0,0,0.99817,-0.00038,,,,,,,Regular,0.816,0.6977
430.0,0.0,0.0,0.0,0,0,0.9979,-0.00041,,,,,,,Regular,0.8122,0.6879
435.0,0.0,0.0,0.0,0,0,0.99837,-0.00045,,,,,,,Regular,0.7723,0.6791
440.0,0.0,0.0,0.0,0,0,0.99734,-0.0005,,,,,,,Regular,0.801,0.6714
445.0,0.0,0.0,0.0,0,0,0.99706,-0.00056,,,,,,,Regular,0.7941,0.6637
450.0,0.0,0.0,0.0,0,0,0.99678,-0.00062,,,,,,,Regular,0.7865,0.6559
455.0,0.0,0.0,0.0,0,0,0.99648,-0.00068,,,,,,,Regular,0.7784,0.6471
460.0,0.0,0.0,0.0,0,0,0.99691,-0.00074,,,,,,,Regular,0.7487,0.6384
465.0,0.0,0.0,0.0,0,0,0.99587,-0.0008,,,,,,,Regular,0.7611,0.6295
470.0,0.0,0.0,0.0,0,0,0.99554,-0.00087,,,,,,,Regular,0.7521,0.621
475.0,0.0,0.0,0.0,0,0,0.99521,-0.00095,,,,,,,Regular,0.7427,0.6124
480.0,0.1562,0.0,0.1562,26,0,0.99486,-0.00103,,,,,,,Regular,0.733,0.6035
485.0,0.0,0.0,0.0,0,0,0.99451,-0.00112,,,,,,,Regular,0.7231,0.5947
490.0,0.0,0.0,0.0,0,0,0.99415,-0.00122,,,,,,,Regular,0.713,0.5861
495.0,0.0,0.0,0.0,0,0,0.99451,-0.00133,,,,,,,Regular,0.6897,0.5776
500.0,0.0,0.0,0.0,0,0,0.99412,-0.00143,,,,,,,Regular,0.6802,0.5687
505.0,0.0,0.0,0.0,0,0,0.99296,-0.00155,,,,,,,Regular,0.6822,0.5595
510.0,0.0,0.0,0.0,0,0,0.99329,-0.00166,,,,,,,Regular,0.6606,0.5503
515.0,0.0,0.0,0.0,0,0,0.99208,-0.00179,,,,,,,Regular,0.6612,0.5412
520.0,1.0445,0.0,1.0445,100,0,0.99162,-0.00196,,,,,,,Regular,0.6504,0.533
525.0,0.0,0.0,0.0,0,0,0.99114,-0.00214,,,,,,,Regular,0.6395,0.5248
530.0,0.0,0.0,0.0,0,0,0.99065,-0.00232,,,,,,,Regular,0.6286,0.5164
535.0,0.0,0.0,0.0,0,0,0.99013,-0.00252,,,,,,,Regular,0.6177,0.508
540.0,0.0,0.0,0.0,0,0,0.98956,-0.00276,,,,,,,Regular,0.6069,0.4997
545.0,0.9185,0.0,0.9185,67,0,0.98981,-0.00301,,,,,,,Regular,0.588,0.4914
550.0,17.8298,0.0,17.8298,1153,0,0.98836,-0.00327,,,,,,,Regular,0.585,0.4829
555.0,1.8001,0.0,1.8001,109,0,0.98772,-0.00355,,,,,,,Regular,0.574,0.4744
560.0,0.0,0.0,0.0,0,0,0.98704,-0.0039,,,,,,,Regular,0.563,0.4667
565.0,25.8197,0.0,25.8197,1371,0,0.98634,-0.00428,,,,,,,Regular,0.5519,0.4587
570.0,2.832,0.0,2.832,147,0,0.98649,-0.00467,,,,,,,Regular,0.5344,0.4504
575.0,3.2423,-132.0805,-128.8382,151,13373,0.98484,-0.00508,,,,,,,Regular,0.5294,0.4419
580.0,5.1818,-121.9689,-116.7871,226,11272,0.98404,-0.00551,,,,,,,Regular,0.5181,0.4331
585.0,0.0,-105.8075,-105.8075,0,8940,0.9832,-0.00595,,,,,,,Regular,0.5067,0.4241
590.0,3.1758,-261.701,-258.5252,121,20180,0.98226,-0.00644,,,,,,,Regular,0.4956,0.4152
595.0,0.0,-114.107,-114.107,0,7992,0.98126,-0.00702,,,,,,,Regular,0.4845,0.4069
600.0,157.771,-995.8356,-838.0646,5233,63300,0.98022,-0.00765,,,,,,,Regular,0.4732,0.3983
601.0,0.0,-26.3374,-26.3374,0,1638,0.98094,-0.0078,,,,,,,Regular,0.4664,0.3966
602.0,0.0,0.0,0.0,0,0,0.97979,-0.00793,,,,,,,Regular,0.4687,0.3949
603.0,0.0,0.0,0.0,0,0,0.97957,-0.00806,,,,,,,Regular,0.4664,0.3931
604.0,0.0,-16.9753,-16.9753,0,1000,0.98029,-0.00817,,,,,,,Regular,0.4597,0.3912
605.0,8.4374,-899.4941,-891.0567,261,51840,0.97913,-0.00833,,,,,,,Regular,0.4619,0.3895
