strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
800.0,4045.7334,-209.2332,3836.5002,9447,505,0.17201,-0.87931,3.15,3.18,35.96,37.55,3.75,0.82,Regular,0.1205,0.0981
805.0,1507.4746,0.0,1507.4746,4074,0,0.13455,-0.92682,2.31,2.33,40.28,42.24,2.73,0.63,Regular,0.1185,0.0907
810.0,2660.7272,-9.9386,2650.7886,8486,85,0.10467,-0.98392,1.66,1.68,43.59,46.71,1.35,0.46,Regular,0.1171,0.0696
815.0,2926.4905,0.0,2926.4905,11351,0,0.07918,-0.99573,1.18,1.2,48.26,51.45,1.55,0.33,Regular,0.1158,0.0628
820.0,1850.1647,0.0,1850.1647,8932,0,0.05923,-0.99939,0.84,0.85,53.1,56.31,1.65,0.24,Regular,0.1153,0.0563
825.0,587.0173,0.0,587.0173,3559,0,0.04432,-0.99715,0.59,0.6,58.1,61.27,1.79,0.16,Regular,0.1149,0.0713
830.0,1689.9857,0.0,1689.9857,13084,0,0.03296,-0.99768,0.42,0.43,63.05,66.26,1.78,0.1,Regular,0.1153,0.0753
835.0,1106.4925,0.0,1106.4925,10817,0,0.02514,-0.99812,0.31,0.32,68.08,71.26,1.82,0.07,Regular,0.1162,0.079
840.0,211.6784,0.0,211.6784,2625,0,0.01921,-0.99849,0.23,0.24,73.08,76.26,1.82,0.04,Regular,0.1175,0.0825
845.0,676.3771,0.0,676.3771,10422,0,0.01521,-0.99879,0.18,0.19,78.08,81.26,1.82,0.03,Regular,0.1196,0.0858
850.0,503.1656,0.0,503.1656,9625,0,0.01208,-0.99904,0.14,0.15,83.08,86.26,1.82,0.01,Regular,0.1217,0.0888
855.0,33.3012,0.0,33.3012,761,0,0.01014,-0.9998,0.12,0.13,88.08,91.26,1.82,,Regular,0.1248,0.0825
860.0,74.3227,0.0,74.3227,2020,0,0.00855,-0.99942,,,,,,,Regular,0.1279,0.0943
865.0,17.5539,0.0,17.5539,575,0,0.00709,-0.99956,,,,,,,Regular,0.1307,0.0966
870.0,9.1074,0.0,9.1074,349,0,0.00609,-0.99968,,,,,,,Regular,0.1338,0.0988
875.0,17.5957,0.0,17.5957,791,0,0.00522,-0.99976,,,,,,,Regular,0.1368,0.1007
880.0,0.0,0.0,0.0,0,0,0.00441,-0.99987,,,,,,,Regular,0.1395,0.1004
885.0,0.0,0.0,0.0,0,0,0.00376,-0.99987,,,,,,,Regular,0.1422,0.1047
890.0,0.0,0.0,0.0,0,0,0.00328,-0.99988,,,,,,,Regular,0.1454,0.1077
895.0,0.0,0.0,0.0,0,0,0.00289,-0.99989,,,,,,,Regular,0.1483,0.111
900.0,0.0,0.0,0.0,0,0,0.0026,-0.9999,,,,,,,Regular,0.1517,0.1141
905.0,0.0,0.0,0.0,0,0,0.00236,-0.99992,,,,,,,Regular,0.1553,0.1164
910.0,0.0,0.0,0.0,0,0,0.00213,-0.99992,,,,,,,Regular,0.1584,0.1202
915.0,0.0,0.0,0.0,0,0,0.00196,-0.99993,,,,,,,Regular,0.1621,0.1232
920.0,0.0,0.0,0.0,0,0,0.00181,-0.99995,,,,,,,Regular,0.1655,0.1249
925.0,0.0,0.0,0.0,0,0,0.00167,-0.99994,,,,,,,Regular,0.1688,0.1288
930.0,0.0,0.0,0.0,0,0,0.00153,-0.99996,,,,,,,Regular,0.1722,0.13
935.0,0.0,0.0,0.0,0,0,0.0014,-0.99996,,,,,,,Regular,0.1752,0.1342
940.0,0.0,0.0,0.0,0,0,0.00128,-0.99996,,,,,,,Regular,0.1782,0.1367
945.0,0.0,0.0,0.0,0,0,0.00115,-0.99997,,,,,,,Regular,0.1809,0.1392
950.0,0.0,0.0,0.0,0,0,0.00106,-0.99997,,,,,,,Regular,0.1838,0.1417
955.0,0.0,0.0,0.0,0,0,0.00102,-0.99997,,,,,,,Regular,0.1875,0.144
960.0,0.0,0.0,0.0,0,0,0.001,-0.99998,,,,,,,Regular,0.1915,0.1463
965.0,0.0,0.0,0.0,0,0,0.00098,-0.99999,,,,,,,Regular,0.1955,0.1443
970.0,0.0,0.0,0.0,0,0,0.00096,-0.99998,,,,,,,Regular,0.1995,0.1506
975.0,0.0,0.0,0.0,0,0,0.00094,-0.99998,,,,,,,Regular,0.2035,0.1527
980.0,0.0,0.0,0.0,0,0,0.00092,-0.99999,,,,,,,Regular,0.2073,0.1547
985.0,0.0,0.0,0.0,0,0,0.00091,-0.99999,,,,,,,Regular,0.2111,0.1568
990.0,0.0,0.0,0.0,0,0,0.00089,-1.0,,,,,,,Regular,0.215,0.1466
995.0,0.0,0.0,0.0,0,0,0.00088,-0.99999,,,,,,,Regular,0.2188,0.161
1000.0,0.0,0.0,0.0,0,0,0.00086,-0.99999,,,,,,,Regular,0.2226,0.1635
