Date,Close
2/01/2025 16:00:00,"584,64"
3/01/2025 16:00:00,"591,95"
6/01/2025 16:00:00,"595,36"
7/01/2025 16:00:00,"588,63"
8/01/2025 16:00:00,"589,49"
10/01/2025 16:00:00,"580,49"
13/01/2025 16:00:00,"581,39"
14/01/2025 16:00:00,"582,19"
15/01/2025 16:00:00,"592,78"
16/01/2025 16:00:00,"591,64"
17/01/2025 16:00:00,"597,58"
21/01/2025 16:00:00,"603,05"
22/01/2025 16:00:00,"606,44"
23/01/2025 16:00:00,"609,75"
24/01/2025 16:00:00,"607,97"
27/01/2025 16:00:00,"599,37"
28/01/2025 16:00:00,"604,52"
29/01/2025 16:00:00,"601,81"
30/01/2025 16:00:00,"605,04"
31/01/2025 16:00:00,"601,82"
3/02/2025 16:00:00,"597,77"
4/02/2025 16:00:00,"601,78"
5/02/2025 16:00:00,"604,22"
6/02/2025 16:00:00,"606,32"
7/02/2025 16:00:00,"600,77"
10/02/2025 16:00:00,"604,85"
11/02/2025 16:00:00,"605,31"
12/02/2025 16:00:00,"603,36"
13/02/2025 16:00:00,"609,73"
14/02/2025 16:00:00,"609,7"
18/02/2025 16:00:00,"611,49"
19/02/2025 16:00:00,"612,93"
20/02/2025 16:00:00,"610,38"
21/02/2025 16:00:00,"599,94"
24/02/2025 16:00:00,"597,21"
25/02/2025 16:00:00,"594,24"
26/02/2025 16:00:00,"594,54"
27/02/2025 16:00:00,"585,05"
28/02/2025 16:00:00,"594,18"
3/03/2025 16:00:00,"583,77"
4/03/2025 16:00:00,"576,86"
5/03/2025 16:00:00,"583,06"
6/03/2025 16:00:00,"572,71"
7/03/2025 16:00:00,"575,92"
10/03/2025 16:00:00,"560,58"
11/03/2025 16:00:00,"555,92"
12/03/2025 16:00:00,"558,87"
13/03/2025 16:00:00,"551,42"
14/03/2025 16:00:00,"562,81"
17/03/2025 16:00:00,"567,15"
18/03/2025 16:00:00,"561,02"
19/03/2025 16:00:00,"567,13"
20/03/2025 16:00:00,"565,49"
21/03/2025 16:00:00,"563,98"
24/03/2025 16:00:00,"574,08"
25/03/2025 16:00:00,"575,46"
26/03/2025 16:00:00,"568,59"
27/03/2025 16:00:00,"567,08"
28/03/2025 16:00:00,"555,66"
31/03/2025 16:00:00,"559,39"
1/04/2025 16:00:00,"560,97"
2/04/2025 16:00:00,"564,52"
3/04/2025 16:00:00,"536,7"
4/04/2025 16:00:00,"505,28"
7/04/2025 16:00:00,"504,38"
8/04/2025 16:00:00,"496,48"
9/04/2025 16:00:00,"548,62"
10/04/2025 16:00:00,"524,58"
11/04/2025 16:00:00,"533,94"
14/04/2025 16:00:00,"539,12"
15/04/2025 16:00:00,"537,61"
16/04/2025 16:00:00,"525,66"
17/04/2025 16:00:00,"526,41"
21/04/2025 16:00:00,"513,88"
22/04/2025 16:00:00,"527,25"
23/04/2025 16:00:00,"535,42"
24/04/2025 16:00:00,"546,69"
25/04/2025 16:00:00,"550,64"
28/04/2025 16:00:00,"550,85"
29/04/2025 16:00:00,"554,32"
30/04/2025 16:00:00,"554,54"
1/05/2025 16:00:00,"558,47"
2/05/2025 16:00:00,"566,76"
5/05/2025 16:00:00,"563,51"
6/05/2025 16:00:00,"558,8"
7/05/2025 16:00:00,"561,15"
8/05/2025 16:00:00,"565,06"
9/05/2025 16:00:00,"564,34"
12/05/2025 16:00:00,"582,99"
13/05/2025 16:00:00,"586,84"
14/05/2025 16:00:00,"587,59"
15/05/2025 16:00:00,"590,46"
16/05/2025 16:00:00,"594,2"
19/05/2025 16:00:00,"594,85"
20/05/2025 16:00:00,"592,85"
21/05/2025 16:00:00,"582,86"
22/05/2025 16:00:00,"582,86"
23/05/2025 16:00:00,"579,11"
27/05/2025 16:00:00,"591,15"
28/05/2025 16:00:00,"587,73"
29/05/2025 16:00:00,"590,05"
30/05/2025 16:00:00,"589,39"
2/06/2025 16:00:00,"592,71"
3/06/2025 16:00:00,"596,09"
4/06/2025 16:00:00,"595,93"
5/06/2025 16:00:00,"593,05"
6/06/2025 16:00:00,"599,14"
9/06/2025 16:00:00,"599,68"
10/06/2025 16:00:00,"603,08"
11/06/2025 16:00:00,"601,36"
12/06/2025 16:00:00,"603,75"
13/06/2025 16:00:00,597
16/06/2025 16:00:00,"602,68"
17/06/2025 16:00:00,"597,53"
18/06/2025 16:00:00,"597,44"
20/06/2025 16:00:00,"594,28"
23/06/2025 16:00:00,"600,15"
24/06/2025 16:00:00,"606,78"
25/06/2025 16:00:00,"607,12"
26/06/2025 16:00:00,"611,87"
27/06/2025 16:00:00,"614,91"
30/06/2025 16:00:00,"617,85"
1/07/2025 16:00:00,"617,65"
2/07/2025 16:00:00,"620,45"
3/07/2025 13:15:00,"625,34"
7/07/2025 16:00:00,"620,68"
8/07/2025 16:00:00,"620,34"
9/07/2025 16:00:00,"624,06"
10/07/2025 16:00:00,"625,82"
11/07/2025 16:00:00,"623,62"
14/07/2025 16:00:00,"624,81"
15/07/2025 16:00:00,"622,14"
16/07/2025 16:00:00,"624,22"
17/07/2025 16:00:00,"628,04"
18/07/2025 16:00:00,"627,58"
21/07/2025 16:00:00,"628,77"
22/07/2025 16:00:00,"628,86"
23/07/2025 16:00:00,"634,21"
24/07/2025 16:00:00,"634,42"
25/07/2025 16:00:00,"637,1"
28/07/2025 16:00:00,"636,94"
29/07/2025 16:00:00,"635,26"
30/07/2025 16:00:00,"634,46"
31/07/2025 16:00:00,"632,08"
1/08/2025 16:00:00,"621,72"
4/08/2025 16:00:00,"631,17"
5/08/2025 16:00:00,"627,97"
6/08/2025 16:00:00,"632,78"
7/08/2025 16:00:00,"632,25"
8/08/2025 16:00:00,"637,18"
11/08/2025 16:00:00,"635,92"
12/08/2025 16:00:00,"642,69"
13/08/2025 16:00:00,"644,89"
14/08/2025 16:00:00,"644,95"
15/08/2025 16:00:00,"643,44"
18/08/2025 16:00:00,"643,3"
19/08/2025 16:00:00,"639,81"
20/08/2025 16:00:00,"638,11"
21/08/2025 16:00:00,"635,55"
22/08/2025 16:00:00,"645,31"
25/08/2025 16:00:00,"642,47"
26/08/2025 16:00:00,"645,16"
27/08/2025 16:00:00,"646,63"
28/08/2025 16:00:00,"648,92"
29/08/2025 16:00:00,"645,05"
2/09/2025 16:00:00,"640,27"
3/09/2025 16:00:00,"643,74"
4/09/2025 16:00:00,"649,12"
5/09/2025 16:00:00,"647,24"
8/09/2025 16:00:00,"648,83"
9/09/2025 16:00:00,"650,33"
10/09/2025 16:00:00,"652,21"
11/09/2025 16:00:00,"657,63"
12/09/2025 16:00:00,"657,41"
15/09/2025 16:00:00,"660,91"
16/09/2025 16:00:00,660
17/09/2025 16:00:00,"659,18"
18/09/2025 16:00:00,"662,26"
19/09/2025 16:00:00,"663,7"
22/09/2025 16:00:00,"666,84"
23/09/2025 16:00:00,"663,21"
24/09/2025 16:00:00,"661,1"
25/09/2025 16:00:00,"658,05"
26/09/2025 16:00:00,"661,82"
29/09/2025 16:00:00,"663,68"
30/09/2025 16:00:00,"666,18"
1/10/2025 16:00:00,"668,45"
2/10/2025 16:00:00,"669,22"
3/10/2025 16:00:00,"669,21"
6/10/2025 16:00:00,"671,61"
7/10/2025 16:00:00,"669,12"
8/10/2025 16:00:00,"673,11"
9/10/2025 16:00:00,"671,16"
10/10/2025 16:00:00,"653,02"
13/10/2025 16:00:00,"663,04"
14/10/2025 16:00:00,"662,23"
15/10/2025 16:00:00,"665,17"
16/10/2025 16:00:00,"660,64"
17/10/2025 16:00:00,"664,39"
20/10/2025 16:00:00,"671,3"
21/10/2025 16:00:00,"671,29"
22/10/2025 16:00:00,"667,8"
23/10/2025 16:00:00,"671,76"
24/10/2025 16:00:00,"677,25"
27/10/2025 16:00:00,"685,24"
28/10/2025 16:00:00,"687,06"
29/10/2025 16:00:00,"687,39"
30/10/2025 16:00:00,"679,83"
31/10/2025 16:00:00,"682,06"
3/11/2025 16:00:00,"683,34"
4/11/2025 16:00:00,"675,24"
5/11/2025 16:00:00,"677,58"
6/11/2025 16:00:00,"670,31"
7/11/2025 16:00:00,"670,97"
10/11/2025 16:00:00,"681,44"
11/11/2025 16:00:00,683
12/11/2025 16:00:00,"683,38"
13/11/2025 16:00:00,"672,04"
14/11/2025 16:00:00,"671,93"
17/11/2025 16:00:00,"665,67"
18/11/2025 16:00:00,"660,08"
19/11/2025 16:00:00,"662,63"
20/11/2025 16:00:00,"652,53"
21/11/2025 16:00:00,"659,03"
24/11/2025 16:00:00,"668,73"
25/11/2025 16:00:00,"675,02"
26/11/2025 16:00:00,"679,68"
28/11/2025 13:15:00,"683,39"
1/12/2025 16:00:00,"680,27"
2/12/2025 16:00:00,"681,53"
3/12/2025 16:00:00,"683,89"
4/12/2025 16:00:00,"684,39"
5/12/2025 16:00:00,"685,69"
8/12/2025 16:00:00,"683,63"
9/12/2025 16:00:00,"683,04"
10/12/2025 16:00:00,"687,57"
11/12/2025 16:00:00,"689,17"
12/12/2025 16:00:00,"681,76"
15/12/2025 16:00:00,"680,73"
16/12/2025 16:00:00,"678,87"
17/12/2025 16:00:00,"671,4"
18/12/2025 16:00:00,"676,47"
19/12/2025 16:00:00,"680,59"
22/12/2025 16:00:00,"684,83"
23/12/2025 16:00:00,"687,96"
24/12/2025 13:00:00,"690,38"
26/12/2025 16:00:00,"690,31"
29/12/2025 16:00:00,"687,85"
30/12/2025 16:00:00,"687,01"
31/12/2025 16:00:00,"681,92"
