strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
365.0,147.4871,-108.4956,38.9915,1710,1133,0.47565,-0.53261,19.4,19.55,25.85,26.15,2.55,1.85
370.0,156.8488,-197.9002,-41.0514,1832,2076,0.44272,-0.57143,17.4,17.55,28.8,29.15,2.65,1.65
375.0,268.5286,-75.3946,193.134,3185,805,0.41209,-0.60599,15.6,15.75,31.95,32.35,2.8,1.5
380.0,355.893,-874.3167,-518.4237,4313,9598,0.37978,-0.64207,13.95,14.1,35.15,35.75,2.8,1.35
385.0,84.2631,-110.2048,-25.9417,1051,1248,0.35168,-0.67651,12.5,12.6,38.85,39.25,3.1,1.2
390.0,176.4264,-297.9729,-121.5465,2277,3534,0.32202,-0.70534,11.15,11.3,42.35,43,3.1,1.1
395.0,129.9736,-182.0065,-52.0329,1747,2268,0.29562,-0.73767,9.95,10.05,46.15,46.8,3.15,0.95
400.0,665.53,-412.2813,253.2487,9357,5441,0.27056,-0.76637,8.85,9,50.1,50.8,3.3,0.8
405.0,48.8227,-23.2176,25.6051,722,327,0.24763,-0.7936,7.9,8.05,54,55.1,3.2,0.7
410.0,114.8064,0.0,114.8064,1792,0,0.22596,-0.81584,7.05,7.2,58.2,59.25,3.1,0.6
415.0,82.0232,0.0,82.0232,1357,0,0.2064,-0.8342,6.3,6.45,62.5,63.75,3.25,0.55
420.0,141.5183,0.0,141.5183,2489,0,0.18833,-0.85737,5.65,5.75,66.85,67.9,3.1,0.5
425.0,128.6533,-27.5404,101.1129,2406,542,0.17248,-0.87731,5.05,5.15,71.3,72.35,3.4,0.4
430.0,363.5674,-26.2808,337.2866,7281,570,0.1569,-0.89267,4.55,4.65,75.85,77.05,3.5,0.35
435.0,64.7448,0.0,64.7448,1388,0,0.14299,-0.90674,4.05,4.2,80.45,81.55,3.4,0.3
