strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
300.0,0.0,0.0,0.0,0,0,0.9995,0.0,,,,,,,Regular
305.0,0.0,0.0,0.0,0,0,0.99939,0.0,,,,,,,Regular
310.0,0.0,0.0,0.0,0,0,0.99926,0.0,,,,,,,Regular
315.0,0.0,0.0,0.0,0,0,0.99911,-1E-05,,,,,,,Regular
320.0,0.0,0.0,0.0,0,0,0.99894,-1E-05,,,,,,,Regular
325.0,0.0,0.0,0.0,0,0,0.99874,-1E-05,,,,,,,Regular
330.0,0.0,0.0,0.0,0,0,0.99851,-1E-05,,,,,,,Regular
335.0,0.0,0.0,0.0,0,0,0.99824,-2E-05,,,,,,,Regular
340.0,0.0,0.0,0.0,0,0,0.99794,-3E-05,,,,,,,Regular
345.0,0.0,0.0,0.0,0,0,0.9976,-4E-05,,,,,,,Regular
350.0,0.0,0.0,0.0,0,0,0.99721,-5E-05,,,,,,,Regular
355.0,0.0,0.0,0.0,0,0,0.99677,-6E-05,,,,,,,Regular
360.0,0.0,0.0,0.0,0,0,0.99629,-9E-05,,,,,,,Regular
365.0,0.0,0.0,0.0,0,0,0.99574,-0.00011,,,,,,,Regular
370.0,0.0,0.0,0.0,0,0,0.99513,-0.00014,,,,,,,Regular
375.0,0.0,0.0,0.0,0,0,0.99486,-0.00017,,,,,,,Regular
380.0,0.0,0.0,0.0,0,0,0.99459,-0.0002,,,,,,,Regular
385.0,0.0,0.0,0.0,0,0,0.99431,-0.00022,,,,,,,Regular
390.0,0.0,0.0,0.0,0,0,0.99403,-0.00025,,,,,,,Regular
395.0,0.0,0.0,0.0,0,0,0.99374,-0.00028,,,,,,,Regular
400.0,0.0,0.0,0.0,0,0,0.99344,-0.00031,,,,,,,Regular
405.0,0.0,0.0,0.0,0,0,0.99314,-0.00034,,,,,,,Regular
410.0,0.0,0.0,0.0,0,0,0.99283,-0.00037,,,,,,,Regular
415.0,0.0,0.0,0.0,0,0,0.99251,-0.0004,,,,,,,Regular
420.0,0.0,0.0,0.0,0,0,0.99218,-0.00043,,,,,,,Regular
425.0,0.0,0.0,0.0,0,0,0.99185,-0.00047,,,,,,,Regular
430.0,0.0,0.0,0.0,0,0,0.9915,-0.00051,,,,,,,Regular
435.0,0.0,0.0,0.0,0,0,0.99115,-0.00056,,,,,,,Regular
440.0,0.0,0.0,0.0,0,0,0.99079,-0.0006,,,,,,,Regular
445.0,0.0,0.0,0.0,0,0,0.99042,-0.00065,,,,,,,Regular
450.0,0.0,0.0,0.0,0,0,0.99004,-0.00069,,,,,,,Regular
455.0,0.0,0.0,0.0,0,0,0.98964,-0.00075,,,,,,,Regular
460.0,0.0,0.0,0.0,0,0,0.98924,-0.00081,,,,,,,Regular
465.0,0.0,0.0,0.0,0,0,0.98883,-0.00088,,,,,,,Regular
470.0,0.0,0.0,0.0,0,0,0.9884,-0.00095,,,,,,,Regular
475.0,0.0,0.0,0.0,0,0,0.98797,-0.00103,,,,,,,Regular
480.0,0.0,0.0,0.0,0,0,0.98752,-0.00114,,,,,,,Regular
485.0,0.0,0.0,0.0,0,0,0.98705,-0.00126,,,,,,,Regular
490.0,0.0,0.0,0.0,0,0,0.98658,-0.00139,,,,,,,Regular
495.0,0.0,0.0,0.0,0,0,0.98609,-0.00152,,,,,,,Regular
500.0,0.0,0.0,0.0,0,0,0.98558,-0.00166,,,,,,,Regular
505.0,0.0,0.0,0.0,0,0,0.98506,-0.00181,,,,,,,Regular
510.0,0.0,0.0,0.0,0,0,0.98452,-0.00196,,,,,,,Regular
515.0,0.0,0.0,0.0,0,0,0.98396,-0.00211,,,,,,,Regular
520.0,1.6705,0.0,1.6705,100,0,0.98339,-0.00228,,,,,,,Regular
525.0,0.0,0.0,0.0,0,0,0.98279,-0.00249,,,,,,,Regular
530.0,0.0,0.0,0.0,0,0,0.98218,-0.00271,,,,,,,Regular
535.0,0.0,0.0,0.0,0,0,0.98154,-0.00294,,,,,,,Regular
540.0,0.0,0.0,0.0,0,0,0.98088,-0.00318,,,,,,,Regular
545.0,1.435,0.0,1.435,67,0,0.9802,-0.00344,,,,,,,Regular
550.0,25.9803,0.0,25.9803,1153,0,0.97949,-0.00373,,,,,,,Regular
555.0,2.5849,0.0,2.5849,109,0,0.97876,-0.00408,,,,,,,Regular
560.0,0.0,0.0,0.0,0,0,0.97799,-0.00446,,,,,,,Regular
565.0,36.4605,0.0,36.4605,1386,0,0.9772,-0.00484,,,,,,,Regular
570.0,5.4902,-66.4163,-60.9261,198,6752,0.97637,-0.00524,,,,,,,Regular
575.0,4.4159,-143.6112,-139.1953,151,13373,0.97551,-0.00566,,,,,,,Regular
580.0,6.975,-132.1601,-125.1851,226,11291,0.97462,-0.00609,,,,,,,Regular
585.0,0.0,-114.2056,-114.2056,0,8940,0.97368,-0.00656,,,,,,,Regular
590.0,0.0,-283.7622,-283.7622,0,20180,0.97271,-0.00715,,,,,,,Regular
595.0,0.0,-126.2655,-126.2655,0,8148,0.97168,-0.0078,,,,,,,Regular
600.0,201.7983,-1082.1043,-880.306,5232,63332,0.97061,-0.00851,,,,,,,Regular
601.0,0.0,-28.5391,-28.5391,0,1638,0.97039,-0.00866,,,,,,,Regular
602.0,0.0,0.0,0.0,0,0,0.97017,-0.00881,,,,,,,Regular
603.0,0.0,0.0,0.0,0,0,0.96995,-0.00897,,,,,,,Regular
604.0,0.0,-18.364,-18.364,0,994,0.96972,-0.00912,,,,,,,Regular
605.0,10.6668,-976.4201,-965.7533,261,51837,0.96949,-0.00928,,,,,,,Regular
606.0,0.0,-9.9089,-9.9089,0,516,0.96926,-0.00944,,,,,,,Regular
607.0,0.0,0.0,0.0,0,0,0.96903,-0.0096,,,,,,,Regular
608.0,0.0,0.0,0.0,0,0,0.96879,-0.00976,,,,,,,Regular
609.0,0.0,0.0,0.0,0,0,0.96855,-0.00993,,,,,,,Regular
610.0,17.8597,-1067.4861,-1049.6264,412,51497,0.96831,-0.01009,,,,,,,Regular
611.0,0.0877,-9.6544,-9.5667,2,457,0.96807,-0.01026,,,,,,,Regular
612.0,0.0888,-7.3412,-7.2524,2,341,0.96782,-0.01042,,,,,,,Regular
613.0,0.0,-7.7448,-7.7448,0,353,0.96758,-0.01059,,,,,,,Regular
614.0,0.1364,0.0,0.1364,3,0,0.96733,-0.01077,,,,,,,Regular
615.0,8.7455,-2385.5162,-2376.7707,190,104599,0.96707,-0.01096,,,,,,,Regular
616.0,0.1864,-6.9295,-6.7431,4,298,0.96682,-0.01114,,,,,,,Regular
617.0,0.1415,-5.8083,-5.6668,3,245,0.96656,-0.01133,,,,,,,Regular
618.0,0.9071,-16.533,-15.6259,19,684,0.9663,-0.01152,,,,,,,Regular
619.0,0.0967,-7.7652,-7.6685,2,315,0.96603,-0.01172,,,,,,,Regular
620.0,41.1524,-3971.9917,-3930.8393,841,157972,0.96577,-0.01192,,,,,,,Regular
621.0,0.0495,0.0,0.0495,1,0,0.9655,-0.01213,,,,,,,Regular
622.0,0.1003,0.0,0.1003,2,0,0.96522,-0.01234,,,,,,,Regular
623.0,0.254,0.0,0.254,5,0,0.96495,-0.01255,,,,,,,Regular
624.0,0.1029,0.0,0.1029,2,0,0.96466,-0.01276,,,,,,,Regular
625.0,44.2299,-3682.9228,-3638.6929,849,132795,0.96438,-0.01298,,,,,,,Regular
626.0,0.0528,0.0,0.0528,1,0,0.96408,-0.01319,,,,,,,Regular
627.0,0.0,0.0,0.0,0,0,0.96377,-0.01341,,,,,,,Regular
628.0,0.0542,0.0,0.0542,1,0,0.96347,-0.01363,,,,,,,Regular
629.0,0.0,-6.3854,-6.3854,0,213,0.96312,-0.01386,,,,,,,Regular
630.0,62.5554,-314.4655,-251.9101,1121,10275,0.96258,-0.01412,,,,,,,Regular
631.0,0.0,0.0,0.0,0,0,0.96195,-0.01439,,,,,,,Regular
632.0,0.0,-15.518,-15.518,0,486,0.96131,-0.01466,,,,,,,Regular
633.0,0.0,-19.6644,-19.6644,0,603,0.96066,-0.01494,,,,,,,Regular
634.0,0.0,0.0,0.0,0,0,0.96001,-0.01522,,,,,,,Regular
635.0,62.9154,-288.7299,-225.8145,1033,8490,0.95935,-0.0155,,,,,,,Regular
636.0,0.0,0.0,0.0,0,0,0.95869,-0.01578,,,,,,,Regular
637.0,0.0,0.0,0.0,0,0,0.95802,-0.01607,,,,,,,Regular
638.0,0.0,0.0,0.0,0,0,0.95734,-0.01636,,,,,,,Regular
639.0,0.0,-26.0158,-26.0158,0,704,0.95666,-0.01666,,,,,,,Regular
640.0,142.3961,-480.4955,-338.0994,2145,12737,0.95598,-0.01696,,,,,,,Regular
641.0,0.0,-21.4109,-21.4109,0,556,0.95528,-0.01726,,,,,,,Regular
642.0,0.0,-40.6444,-40.6444,0,1034,0.95459,-0.01756,,,,,,,Regular
643.0,0.0,0.0,0.0,0,0,0.95388,-0.01787,,,,,,,Regular
644.0,0.0,0.0,0.0,0,0,0.95317,-0.01818,,,,,,,Regular
645.0,72.9359,-262.836,-189.9001,1009,6288,0.95245,-0.0185,,,,,,,Regular
646.0,1.2499,-20.442,-19.1921,17,479,0.95173,-0.01882,,,,,,,Regular
647.0,0.2243,0.0,0.2243,3,0,0.951,-0.01917,,,,,,,Regular
648.0,0.0,-14.3373,-14.3373,0,322,0.95026,-0.01952,,,,,,,Regular
649.0,0.0,0.0,0.0,0,0,0.94951,-0.01989,,,,,,,Regular
650.0,257.4722,-4232.7344,-3975.2622,3273,91041,0.94876,-0.02027,,,,,,,Regular
651.0,0.08,-53.1144,-53.0344,1,1118,0.948,-0.02065,,,,,,,Regular
652.0,0.0,-20.3886,-20.3886,0,420,0.94723,-0.02103,,,,,,,Regular
653.0,13.4886,-25.9908,-12.5022,163,524,0.94646,-0.02142,,,,,,,Regular
654.0,0.9258,0.0,0.9258,11,0,0.94567,-0.02182,,,,,,,Regular
655.0,96.1224,-1604.4247,-1508.3023,1123,30983,0.94488,-0.02222,,,,,,,Regular
656.0,0.5223,-20.1696,-19.6473,6,381,0.94408,-0.02265,,,,,,,Regular
657.0,0.0,0.0,0.0,0,0,0.94327,-0.02309,,,,,,,Regular
658.0,0.0,-34.6481,-34.6481,0,626,0.94245,-0.02354,,,,,,,Regular
659.0,0.0,0.0,0.0,0,0,0.94162,-0.02399,,,,,,,Regular
660.0,387.418,-5209.2712,-4821.8532,4159,90032,0.94079,-0.02445,,,,,,,Regular
661.0,0.0,0.0,0.0,0,0,0.93994,-0.02491,,,,,,,Regular
662.0,0.0,0.0,0.0,0,0,0.93909,-0.02538,,,,,,,Regular
663.0,0.0,-62.6426,-62.6426,0,1013,0.93822,-0.02587,,,,,,,Regular
664.0,0.0,-40.5521,-40.5521,0,641,0.93735,-0.02638,,,,,,,Regular
665.0,468.0068,-7150.1513,-6682.1445,4614,110440,0.93646,-0.02691,,,,,,,Regular
666.0,0.0,-77.5875,-77.5875,0,1171,0.93556,-0.02746,,,,,,,Regular
667.0,0.2099,-61.9785,-61.7686,2,914,0.93466,-0.02801,,,,,,,Regular
668.0,0.0,-110.7591,-110.7591,0,1596,0.93374,-0.02858,,,,,,,Regular
669.0,0.0,-68.6062,-68.6062,0,966,0.93281,-0.02915,,,,,,,Regular
670.0,372.1008,-4541.4241,-4169.3233,3366,62471,0.93187,-0.02974,,,,,,,Regular
671.0,0.0,0.0,0.0,0,0,0.93091,-0.03038,,,,,,,Regular
672.0,0.0,-86.1839,-86.1839,0,1129,0.92995,-0.03106,,,,,,,Regular
673.0,0.0,-72.8399,-72.8399,0,931,0.92897,-0.03175,91.63,94.4,0.68,0.69,,2.16,Regular
674.0,0.0,0.0,0.0,0,0,0.92798,-0.03245,90.64,93.42,0.69,0.7,,2.16,Regular
675.0,675.4131,-1886.439,-1211.0259,5599,22958,0.92697,-0.03316,89.69,92.43,0.7,0.71,,2.19,Regular
676.0,0.0,-58.3516,-58.3516,0,693,0.92595,-0.03388,88.67,91.44,0.71,0.72,,2.16,Regular
