strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
50.0,0.0,0.0,0.0,0,0,1.0,0.0,305.25,308.65,0,0.01,,
60.0,0.0,0.0,0.0,0,0,1.0,0.0,295.25,298.65,0,0.01,,
70.0,0.0,0.0,0.0,0,0,1.0,0.0,285.25,288.65,0,0.01,,
80.0,0.0,0.0,0.0,0,0,1.0,0.0,275.7,278.7,0,0.01,,
90.0,0.0,0.0,0.0,0,0,1.0,0.0,265.7,268.7,0,0.05,,
100.0,0.0,0.0,0.0,0,0,1.0,0.0,255.75,258.7,0,0.01,,
110.0,0.0,0.0,0.0,0,0,1.0,-2E-05,245.75,248.75,0,0.05,,
120.0,0.0,0.0,0.0,0,0,1.0,-6E-05,235.75,238.75,0,0.01,,
130.0,0.0,0.0,0.0,0,0,0.99999,-0.00017,225.8,228.65,0,0.05,,
140.0,0.0,0.0,0.0,0,0,0.99999,-0.00026,215.85,218.7,0,0.01,,
150.0,0.0,0.0,0.0,0,0,0.99999,-0.00043,205.8,208.1,0.01,0.02,,
160.0,0.0,0.0,0.0,0,0,0.99998,-0.00064,195.85,198.8,0,0.05,,
170.0,0.0,0.0,0.0,0,0,0.99998,-0.00087,185.9,188.85,0,0.05,,
180.0,0.0,0.0,0.0,0,0,0.99998,-0.00112,175.9,178.5,0.01,0.08,,
190.0,0.0,0.0,0.0,0,0,0.99997,-0.0014,165.9,168.85,0,0.1,,
200.0,0.0,0.0,0.0,0,0,0.99996,-0.00172,155.95,157.55,0.02,0.06,,
210.0,0.0,0.0,0.0,0,0,0.99993,-0.00207,145.95,148.85,0.01,0.06,,
220.0,0.0,0.0,0.0,0,0,0.99975,-0.00249,136,138.6,0.02,0.06,,
230.0,0.0,0.0,0.0,0,0,0.99942,-0.00305,126,128.95,0.03,0.09,,2.05
235.0,0.0,0.0,0.0,0,0,0.99918,-0.00337,121.05,123.95,0.04,0.1,-0.05,2.6
240.0,0.0,0.0,0.0,0,0,0.9989,-0.00371,116.05,118.45,0.05,0.1,-0.05,2.05
245.0,0.0,0.0,0.0,0,0,0.9986,-0.00412,111.05,114,0.05,0.08,-0.05,2.05
250.0,0.0,0.0,0.0,0,0,0.99828,-0.00472,106.05,109,0.07,0.09,-0.01,2.05
255.0,0.0,-3.4253,-3.4253,0,839,0.9978,-0.0054,101.05,104,0.07,0.11,-0.02,2.35
260.0,0.0,-2.6627,-2.6627,0,558,0.99649,-0.00614,96.15,98.7,0.08,0.13,-0.03,2.45
265.0,0.0,-2.0866,-2.0866,0,375,0.99405,-0.00694,91.1,93.7,0.09,0.13,-0.04,2.05
270.0,0.0,-4.01,-4.01,0,615,0.99137,-0.00787,86.2,89.05,0.1,0.12,-0.03,2.1
275.0,0.0,-4.0454,-4.0454,0,519,0.9886,-0.00916,81.15,84.1,0.12,0.13,0,2.4
280.0,0.0,-23.8917,-23.8917,0,2556,0.98568,-0.01068,76.2,78.75,0.14,0.15,0.01,2.1
285.0,0.8026,-10.1496,-9.347,57,899,0.98254,-0.01255,70.95,74.1,0.16,0.17,0.01,2.25
290.0,2.1267,-14.3083,-12.1816,124,1036,0.97913,-0.01496,66.35,68.7,0.18,0.2,0.01,2.65
292.5,0.0,-0.8503,-0.8503,0,55,0.97726,-0.01661,63.85,66.55,0.2,0.22,,2.3
295.0,3.3011,-20.4994,-17.1983,156,1186,0.9746,-0.0184,61.1,63.7,0.22,0.24,0.02,3
297.5,0.0,-0.1356,-0.1356,0,7,0.96976,-0.02044,58.7,61.55,0.24,0.26,0.02,2.2
300.0,12.6939,-71.9033,-59.2094,448,3264,0.96436,-0.02323,56.6,58.1,0.28,0.29,0.04,3.1
302.5,0.0,-0.7751,-0.7751,0,31,0.95887,-0.02632,53.9,56.5,0.31,0.33,0.05,2.45
305.0,13.3429,-22.6574,-9.3145,368,800,0.95323,-0.02973,51.6,53.5,0.35,0.37,0.06,3.3
307.5,0.0,-1.6156,-1.6156,0,50,0.9474,-0.03399,49.15,51.45,0.4,0.42,0.07,2.85
310.0,41.163,-29.8168,11.3462,911,802,0.94133,-0.03952,47.05,48.3,0.46,0.48,0.09,3.6
312.5,0.0,-9.0293,-9.0293,0,212,0.93499,-0.04567,44.55,46.3,0.54,0.56,0.12,3.25
315.0,40.2718,-87.6504,-47.3786,722,1794,0.92786,-0.05306,42.35,43.45,0.63,0.66,0.15,3.7
317.5,1.2477,-9.3184,-8.0707,20,166,0.91851,-0.06212,40.05,41.3,0.75,0.78,0.19,3.45
320.0,51.4256,-101.136,-49.7104,738,1572,0.90796,-0.07279,37.7,38.65,0.89,0.92,0.23,3.55
322.5,0.0,-46.8321,-46.8321,0,637,0.89686,-0.08545,35.3,36.6,1.07,1.1,0.29,3.25
325.0,47.4722,-141.1682,-93.696,550,1691,0.88409,-0.09962,33.1,34.15,1.28,1.31,0.36,3.45
327.5,14.9029,-21.2635,-6.3606,155,225,0.86637,-0.11719,30.85,32.05,1.53,1.57,0.43,3.15
330.0,168.533,-137.5736,30.9594,1584,1297,0.84675,-0.13647,29,29.65,1.84,1.88,0.53,3.65
332.5,6.4366,-22.6821,-16.2455,55,192,0.82583,-0.1586,26.6,27.7,2.2,2.24,0.63,3.35
335.0,138.0942,-99.1265,38.9677,1081,760,0.80173,-0.18318,24.7,25.35,2.64,2.68,0.76,3.4
337.5,32.3204,-25.8245,6.4959,233,181,0.77652,-0.21034,22.6,23.25,3.1,3.2,0.86,3.1
340.0,143.5621,-129.4162,14.1459,958,837,0.74958,-0.23988,20.8,21.3,3.7,3.75,1.02,3.15
342.5,62.9709,-96.0968,-33.1259,395,578,0.71818,-0.27126,18.9,19.5,4.35,4.45,1.15,2.85
