strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
719.0,430.3433,0.0,430.3433,1231,0,0.42491,-0.59396,16.77,16.93,25.84,26.07,2.32,2.16
720.0,2257.0055,-2867.4064,-610.4009,6454,7002,0.41758,-0.60261,16.29,16.43,26.36,26.6,2.32,2.13
721.0,156.0022,0.0,156.0022,446,0,0.41021,-0.61124,15.81,15.97,26.9,27.14,2.37,2.07
722.0,111.8968,-91.7862,20.1106,320,225,0.40283,-0.61986,15.33,15.51,27.45,27.69,2.41,2
723.0,159.9321,-51.2718,108.6603,458,126,0.39554,-0.62853,14.89,15.05,28.01,28.25,2.47,1.97
724.0,128.2631,-144.0681,-15.805,368,355,0.38826,-0.63728,14.44,14.61,28.57,28.81,2.5,1.92
725.0,1547.5003,-654.5526,892.9477,4449,1618,0.38094,-0.64606,14.02,14.16,29.14,29.39,2.54,1.9
726.0,216.8761,-117.6929,99.1832,625,292,0.37362,-0.65486,13.59,13.74,29.72,29.98,2.58,1.85
727.0,123.8523,-75.4647,48.3876,358,188,0.36635,-0.66372,13.18,13.33,30.32,30.57,2.63,1.81
728.0,255.7916,0.0,255.7916,742,0,0.35911,-0.67247,12.77,12.92,30.92,31.17,2.67,1.77
729.0,86.5209,-87.6727,-1.1518,252,221,0.3519,-0.68102,12.38,12.52,31.53,31.79,2.72,1.73
730.0,3421.8464,-827.6401,2594.2063,10010,2101,0.34469,-0.68959,12,12.12,32.16,32.41,2.77,1.7
731.0,206.5369,0.0,206.5369,607,0,0.33747,-0.69824,11.61,11.74,32.79,33.05,2.81,1.64
732.0,191.93,-155.2292,36.7008,567,400,0.33029,-0.70696,11.24,11.37,33.43,33.69,2.86,1.6
733.0,205.9832,0.0,205.9832,612,0,0.32317,-0.71555,10.87,11,34.08,34.35,2.91,1.56
734.0,96.9967,0.0,96.9967,290,0,0.31611,-0.72367,10.52,10.65,34.74,35.01,2.95,1.52
735.0,687.9351,-272.7799,415.1552,2071,725,0.30914,-0.73162,10.17,10.3,35.36,35.91,2.95,1.47
736.0,93.6575,-16.3583,77.2992,284,44,0.30218,-0.73959,9.85,9.97,36.03,36.59,2.98,1.45
737.0,110.3005,-38.9262,71.3743,337,106,0.29523,-0.74762,9.51,9.64,36.72,37.29,3.03,1.39
738.0,84.7238,0.0,84.7238,261,0,0.2884,-0.75572,9.19,9.31,37.42,37.97,3.07,1.35
739.0,72.7174,-13.2392,59.4782,226,37,0.28168,-0.7639,8.88,9,38.12,38.6,3.11,1.32
740.0,3748.8562,-2246.812,1502.0442,11758,6367,0.27496,-0.77212,8.59,8.7,38.83,39.43,2.92,1.29
741.0,148.1059,0.0,148.1059,469,0,0.26829,-0.78017,8.28,8.4,39.53,40.04,2.94,1.24
742.0,106.58,0.0,106.58,341,0,0.26181,-0.78792,8,8.12,40.26,40.88,2.97,1.21
743.0,180.8939,0.0,180.8939,585,0,0.25537,-0.79564,7.73,7.84,41,41.67,3.03,1.18
744.0,105.5153,0.0,105.5153,345,0,0.24891,-0.80336,7.47,7.56,41.71,42.3,3.11,1.15
745.0,1003.2791,-286.4321,716.847,3318,883,0.2425,-0.81109,7.19,7.3,42.52,43.16,3.09,1.1
746.0,295.1752,0.0,295.1752,988,0,0.23625,-0.81875,6.93,7.04,43.29,43.9,3.25,
747.0,82.3172,0.0,82.3172,279,0,0.23009,-0.82577,6.69,6.79,44.04,44.58,3.16,
748.0,45.7212,0.0,45.7212,157,0,0.22406,-0.83208,6.44,6.55,44.84,45.46,3.17,
749.0,47.1153,0.0,47.1153,164,0,0.21818,-0.83825,6.22,6.32,45.63,46.25,3.33,
750.0,6755.49,-299.1046,6456.3854,23845,1027,0.21233,-0.84446,6,6.09,46.42,47.12,3.26,0.95
755.0,1304.0449,-17.3628,1286.6821,4968,68,0.18422,-0.87618,4.96,5.05,50.51,51.18,3.39,0.8
760.0,1037.146,-43.4329,993.7131,4313,204,0.15875,-0.91028,4.09,4.16,54.77,55.47,3.59,0.66
765.0,1656.4001,-6.9506,1649.4495,7597,45,0.13609,-0.94817,3.36,3.43,57.98,60,2.51,0.57
770.0,4320.1542,-38.1244,4282.0298,22081,517,0.11558,-0.98293,2.74,2.79,62.55,64.53,2.55,0.47
775.0,882.4634,-3.5495,878.9139,5079,106,0.09731,-0.99379,2.23,2.27,67.37,69.8,2.84,0.38
780.0,366.1449,0.0,366.1449,2390,0,0.08191,-0.99623,1.81,1.85,72.1,74.79,2.3,0.3
785.0,310.5392,0.0,310.5392,2316,0,0.06867,-0.99843,1.47,1.51,77.03,79.77,2.24,0.25
790.0,169.8016,0.0,169.8016,1456,0,0.05741,-0.99924,1.19,1.22,82.03,84.77,2.26,
795.0,383.1422,0.0,383.1422,3778,0,0.04838,-0.99937,,,,,,
800.0,3070.6531,0.0,3070.6531,35056,0,0.04048,-0.99942,,,,,,
805.0,190.9688,0.0,190.9688,2530,0,0.03391,-0.99947,,,,,,
810.0,83.0541,0.0,83.0541,1282,0,0.02834,-0.99951,,,,,,
815.0,62.0265,0.0,62.0265,1108,0,0.02401,-0.99954,,,,,,
820.0,188.001,0.0,188.001,3877,0,0.02047,-0.99958,,,,,,
825.0,310.2192,0.0,310.2192,7452,0,0.01724,-0.9996,,,,,,
830.0,87.8915,0.0,87.8915,2447,0,0.01465,-0.99963,,,,,,
835.0,59.1676,0.0,59.1676,1896,0,0.0126,-0.99965,,,,,,
840.0,38.3069,0.0,38.3069,1408,0,0.01089,-0.99967,,,,,,
845.0,37.9815,0.0,37.9815,1607,0,0.00937,-0.9997,,,,,,
850.0,143.7988,0.0,143.7988,6918,0,0.0082,-0.99971,,,,,,
855.0,10.979,0.0,10.979,602,0,0.00715,-0.99973,,,,,,
860.0,14.1533,0.0,14.1533,889,0,0.0062,-0.99975,,,,,,
865.0,15.8256,0.0,15.8256,1143,0,0.00535,-0.99976,,,,,,
870.0,0.0,0.0,0.0,0,0,0.00477,-0.99978,,,,,,
875.0,0.0,0.0,0.0,0,0,0.00434,-0.99979,,,,,,
880.0,0.0,0.0,0.0,0,0,0.00396,-0.99981,,,,,,
885.0,0.0,0.0,0.0,0,0,0.00359,-0.99982,,,,,,
890.0,0.0,0.0,0.0,0,0,0.00322,-0.99983,,,,,,
895.0,0.0,0.0,0.0,0,0,0.00287,-0.99984,,,,,,
900.0,0.0,0.0,0.0,0,0,0.00256,-0.99985,,,,,,
905.0,0.0,0.0,0.0,0,0,0.00242,-0.99986,,,,,,
910.0,0.0,0.0,0.0,0,0,0.00234,-0.99987,,,,,,
915.0,0.0,0.0,0.0,0,0,0.00226,-0.99988,,,,,,
920.0,0.0,0.0,0.0,0,0,0.00218,-0.99989,,,,,,
925.0,0.0,0.0,0.0,0,0,0.0021,-0.99989,,,,,,
930.0,0.0,0.0,0.0,0,0,0.00203,-0.9999,,,,,,
935.0,0.0,0.0,0.0,0,0,0.00196,-0.99991,,,,,,
940.0,0.0,0.0,0.0,0,0,0.0019,-0.99991,,,,,,
945.0,0.0,0.0,0.0,0,0,0.00183,-0.99992,,,,,,
950.0,0.0,0.0,0.0,0,0,0.00177,-0.99993,,,,,,
955.0,0.0,0.0,0.0,0,0,0.00171,-0.99993,,,,,,
960.0,0.0,0.0,0.0,0,0,0.00145,-0.99995,,,,,,
965.0,0.0,0.0,0.0,0,0,0.00122,-0.99996,,,,,,
970.0,0.0,0.0,0.0,0,0,0.00103,-0.99997,,,,,,
975.0,0.0,0.0,0.0,0,0,0.00087,-0.99998,,,,,,
980.0,0.0,0.0,0.0,0,0,0.00073,-0.99998,,,,,,
985.0,0.0,0.0,0.0,0,0,0.00061,-0.99999,,,,,,
990.0,0.0,0.0,0.0,0,0,0.00051,-0.99999,,,,,,
995.0,0.0,0.0,0.0,0,0,0.00043,-0.99999,,,,,,
1000.0,0.0,0.0,0.0,0,0,0.00036,-0.99999,,,,,,
1005.0,0.0,0.0,0.0,0,0,0.0003,-1.0,,,,,,
1010.0,0.0,0.0,0.0,0,0,0.00025,-1.0,,,,,,
1015.0,0.0,0.0,0.0,0,0,0.00021,-1.0,,,,,,
1020.0,0.0,0.0,0.0,0,0,0.00017,-1.0,,,,,,
1025.0,0.0,0.0,0.0,0,0,0.00014,-1.0,,,,,,
1030.0,0.0,0.0,0.0,0,0,0.00012,-1.0,,,,,,
1035.0,0.0,0.0,0.0,0,0,0.0001,-1.0,,,,,,
1040.0,0.0,0.0,0.0,0,0,8E-05,-1.0,,,,,,
1045.0,0.0,0.0,0.0,0,0,7E-05,-1.0,,,,,,
1050.0,0.0,0.0,0.0,0,0,6E-05,-1.0,,,,,,
1055.0,0.0,0.0,0.0,0,0,5E-05,-1.0,,,,,,
1060.0,0.0,0.0,0.0,0,0,4E-05,-1.0,,,,,,
1065.0,0.0,0.0,0.0,0,0,3E-05,-1.0,,,,,,
1070.0,0.0,0.0,0.0,0,0,3E-05,-1.0,,,,,,
1075.0,0.0,0.0,0.0,0,0,2E-05,-1.0,,,,,,
1080.0,0.0,0.0,0.0,0,0,2E-05,-1.0,,,,,,
1085.0,0.0,0.0,0.0,0,0,1E-05,-1.0,,,,,,
