strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
300.0,0.0,0.0,0.0,0,0,0.99122,-0.00069,,,,,,,Regular,1.0856,0.7726
305.0,0.0,0.0,0.0,0,0,0.99084,-0.00077,,,,,,,Regular,1.0715,0.7649
310.0,0.0,0.0,0.0,0,0,0.9904,-0.00084,,,,,,,Regular,1.0586,0.7568
315.0,0.0,0.0,0.0,0,0,0.98995,-0.00092,,,,,,,Regular,1.0457,0.7483
320.0,0.0,0.0,0.0,0,0,0.98949,-0.00099,,,,,,,Regular,1.0327,0.7396
325.0,0.0,0.0,0.0,0,0,0.98902,-0.00107,,,,,,,Regular,1.0198,0.7307
330.0,0.0636,0.0,0.0636,11,0,0.98854,-0.00115,,,,,,,Regular,1.0068,0.7216
335.0,0.0,0.0,0.0,0,0,0.98805,-0.00124,,,,,,,Regular,0.9939,0.7124
340.0,0.0,0.0,0.0,0,0,0.98754,-0.00132,,,,,,,Regular,0.981,0.7031
345.0,0.0,0.0,0.0,0,0,0.98703,-0.00141,,,,,,,Regular,0.9681,0.6936
350.0,0.0,0.0,0.0,0,0,0.9865,-0.0015,,,,,,,Regular,0.9552,0.6841
355.0,0.0,0.0,0.0,0,0,0.98596,-0.00159,,,,,,,Regular,0.9424,0.6746
360.0,0.0,0.0,0.0,0,0,0.98541,-0.00169,,,,,,,Regular,0.9296,0.665
365.0,0.0,0.0,0.0,0,0,0.98485,-0.00179,,,,,,,Regular,0.9168,0.6555
370.0,0.0,0.0,0.0,0,0,0.98427,-0.0019,,,,,,,Regular,0.9041,0.6463
375.0,0.0,0.0,0.0,0,0,0.98368,-0.00201,,,,,,,Regular,0.8914,0.6372
380.0,0.0,0.0,0.0,0,0,0.98308,-0.00214,,,,,,,Regular,0.8787,0.628
385.0,0.0,0.0,0.0,0,0,0.98246,-0.00226,,,,,,,Regular,0.8661,0.6188
390.0,0.0,0.0,0.0,0,0,0.98182,-0.00239,,,,,,,Regular,0.8535,0.6095
395.0,0.0,0.0,0.0,0,0,0.98117,-0.00252,,,,,,,Regular,0.8409,0.6003
400.0,0.0,0.0,0.0,0,0,0.9805,-0.00265,,,,,,,Regular,0.8284,0.591
405.0,0.0348,0.0,0.0348,3,0,0.97982,-0.00279,,,,,,,Regular,0.816,0.5818
410.0,0.0,0.0,0.0,0,0,0.97912,-0.00298,,,,,,,Regular,0.8035,0.5735
415.0,0.0,0.0,0.0,0,0,0.97839,-0.00323,,,,,,,Regular,0.7912,0.5666
420.0,0.0,0.0,0.0,0,0,0.97765,-0.0035,,,,,,,Regular,0.7788,0.5596
425.0,0.0,0.0,0.0,0,0,0.97689,-0.00378,,,,,,,Regular,0.7665,0.5524
430.0,0.0,0.0,0.0,0,0,0.97611,-0.00406,,,,,,,Regular,0.7543,0.545
435.0,0.0,0.0,0.0,0,0,0.97531,-0.00435,,,,,,,Regular,0.7421,0.5374
440.0,0.0,0.0,0.0,0,0,0.97449,-0.00465,,,,,,,Regular,0.7299,0.5297
445.0,0.0,0.0,0.0,0,0,0.97364,-0.00496,,,,,,,Regular,0.7178,0.5218
450.0,0.0,-64.2801,-64.2801,0,11192,0.97276,-0.00529,,,,,,,Regular,0.7057,0.514
455.0,0.0,-0.4602,-0.4602,0,74,0.97187,-0.0057,,,,,,,Regular,0.6936,0.5069
460.0,0.0,-8.5404,-8.5404,0,1269,0.97093,-0.00613,,,,,,,Regular,0.6817,0.4998
465.0,0.0,-0.7848,-0.7848,0,108,0.96989,-0.00658,,,,,,,Regular,0.6702,0.4925
470.0,0.0,-15.5516,-15.5516,0,1986,0.9688,-0.00703,,,,,,,Regular,0.6589,0.485
475.0,0.0,-5.8813,-5.8813,0,698,0.96768,-0.00751,,,,,,,Regular,0.6476,0.4774
480.0,0.0,-4.7808,-4.7808,0,527,0.96652,-0.00802,,,,,,,Regular,0.6362,0.4699
485.0,0.0,-3.6556,-3.6556,0,373,0.96533,-0.0086,,,,,,,Regular,0.6249,0.4627
490.0,0.0,-25.3173,-25.3173,0,2393,0.9641,-0.00922,,,,,,,Regular,0.6135,0.4554
495.0,1.4651,-1.8595,-0.3944,56,163,0.96283,-0.00986,,,,,,,Regular,0.6022,0.4481
500.0,0.0,-72.9466,-72.9466,0,5922,0.96152,-0.01057,,,,,,,Regular,0.5909,0.4409
505.0,0.0,-4.4244,-4.4244,0,332,0.96014,-0.01136,,,,,,,Regular,0.5796,0.4339
510.0,0.0,-10.8299,-10.8299,0,752,0.95866,-0.01219,,,,,,,Regular,0.5686,0.4267
515.0,0.0,0.0,0.0,0,0,0.95711,-0.01305,,,,,,,Regular,0.5576,0.4194
520.0,1.6007,-78.8609,-77.2602,48,4710,0.9555,-0.01393,,,,,,,Regular,0.5467,0.4119
525.0,1.3671,-86.2354,-84.8683,39,4778,0.95384,-0.01488,,,,,,,Regular,0.5357,0.4044
530.0,0.0,-27.9235,-27.9235,0,1429,0.95211,-0.01599,,,,,,,Regular,0.5247,0.3974
535.0,3.0256,-15.6729,-12.6473,78,741,0.95027,-0.01718,,,,,,,Regular,0.5138,0.3903
540.0,7.4813,-199.0599,-191.5786,183,8704,0.94824,-0.01841,,,,,,,Regular,0.5033,0.383
545.0,0.0,-24.1465,-24.1465,0,977,0.94611,-0.01972,,,,,,,Regular,0.4928,0.3757
550.0,6.549,-227.7656,-221.2166,144,8526,0.94389,-0.02111,,,,,,,Regular,0.4823,0.3683
555.0,0.0,-16.406,-16.406,0,566,0.94156,-0.02273,,,,,,,Regular,0.4717,0.3613
560.0,0.0,-89.4441,-89.4441,0,2836,0.93904,-0.02458,,,,,,,Regular,0.4614,0.3546
565.0,0.0,-28.162,-28.162,0,821,0.9364,-0.02655,,,,,,,Regular,0.451,0.3478
570.0,0.0,-310.5147,-310.5147,0,8329,0.93358,-0.02864,,,,,,,Regular,0.4407,0.3408
575.0,2.3479,-194.4077,-192.0598,39,4789,0.93041,-0.03097,,,,,,,Regular,0.4309,0.334
580.0,0.0,-174.7601,-174.7601,0,3944,0.92705,-0.03363,,,,,,,Regular,0.4211,0.3275
585.0,0.0,-190.2123,-190.2123,0,3931,0.92354,-0.03653,,,,,,,Regular,0.4111,0.321
590.0,0.0,-210.655,-210.655,0,3987,0.91986,-0.03966,,,,,,,Regular,0.401,0.3144
595.0,0.0,-497.6716,-497.6716,0,8603,0.916,-0.04327,,,,,,,Regular,0.3908,0.3081
600.0,42.1397,-854.66,-812.5203,517,13496,0.91191,-0.04718,,,,,,,Regular,0.3806,0.3018
