strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
50.0,0.0,0.0,0.0,0,0,0.99984,0.0,,,,,,,Regular,1.6053,1.1234
55.0,0.0,0.0,0.0,0,0,0.9997,0.0,,,,,,,Regular,1.6053,1.1234
60.0,0.0,0.0,0.0,0,0,0.99949,0.0,,,,,,,Regular,1.6053,1.1234
65.0,0.0,0.0,0.0,0,0,0.99919,-1E-05,,,,,,,Regular,1.6053,1.1234
70.0,0.0,0.0,0.0,0,0,0.99877,-2E-05,,,,,,,Regular,1.6053,1.1234
75.0,0.0,0.0,0.0,0,0,0.9982,-4E-05,,,,,,,Regular,1.6053,1.1234
80.0,0.0,0.0,0.0,0,0,0.99747,-8E-05,,,,,,,Regular,1.6053,1.1234
85.0,0.0,0.0,0.0,0,0,0.99655,-0.00013,,,,,,,Regular,1.6053,1.1234
90.0,0.0,0.0,0.0,0,0,0.99541,-0.00023,,,,,,,Regular,1.6053,1.1234
95.0,0.0,0.0,0.0,0,0,0.99403,-0.00037,,,,,,,Regular,1.6053,1.1234
100.0,0.0,0.0,0.0,0,0,0.9924,-0.00057,,,,,,,Regular,1.6053,1.1234
105.0,0.0,0.0,0.0,0,0,0.99175,-0.00062,,,,,,,Regular,1.5594,1.086
110.0,0.0,0.0,0.0,0,0,0.99106,-0.00067,,,,,,,Regular,1.5149,1.0506
115.0,0.0,0.0,0.0,0,0,0.99035,-0.00074,,,,,,,Regular,1.4719,1.0183
120.0,0.0,0.0,0.0,0,0,0.98961,-0.00084,,,,,,,Regular,1.4303,0.9896
125.0,0.0,0.0,0.0,0,0,0.98883,-0.00103,,,,,,,Regular,1.3898,0.9712
130.0,0.0,0.0,0.0,0,0,0.98802,-0.00132,,,,,,,Regular,1.3505,0.9587
135.0,0.0,0.0,0.0,0,0,0.98718,-0.00164,,,,,,,Regular,1.3123,0.9439
140.0,0.0,0.0,0.0,0,0,0.9863,-0.00197,,,,,,,Regular,1.275,0.9265
145.0,0.0,0.0,0.0,0,0,0.98539,-0.00232,,,,,,,Regular,1.2387,0.9074
150.0,0.0,0.0,0.0,0,0,0.98443,-0.00267,,,,,,,Regular,1.2032,0.8871
155.0,0.0,0.0,0.0,0,0,0.98343,-0.00305,,,,,,,Regular,1.1685,0.8661
160.0,0.0,0.0,0.0,0,0,0.98239,-0.00344,,,,,,,Regular,1.1346,0.8446
165.0,0.0,0.0,0.0,0,0,0.9813,-0.00385,,,,,,,Regular,1.1014,0.8228
170.0,0.0,0.0,0.0,0,0,0.98015,-0.00427,,,,,,,Regular,1.0689,0.8008
175.0,0.467,0.0,0.467,100,0,0.97896,-0.00474,,,,,,,Regular,1.037,0.7792
180.0,0.0,-0.4738,-0.4738,0,246,0.97771,-0.00531,,,,,,,Regular,1.0057,0.7591
185.0,0.0,-0.7304,-0.7304,0,334,0.9764,-0.00595,,,,,,,Regular,0.9749,0.7395
190.0,0.0,-0.8183,-0.8183,0,331,0.97502,-0.00663,,,,,,,Regular,0.9447,0.7197
195.0,0.3654,-0.7653,-0.3999,57,275,0.97358,-0.00734,,,,,,,Regular,0.9149,0.6996
200.0,0.8257,-8.4235,-7.5978,119,2698,0.97206,-0.00809,,,,,,,Regular,0.8856,0.6793
205.0,0.2779,-0.7441,-0.4662,37,213,0.97047,-0.00888,,,,,,,Regular,0.8568,0.6588
210.0,0.4718,-4.4718,-4.0,58,1146,0.96878,-0.00972,,,,,,,Regular,0.8284,0.6383
215.0,0.0,-2.1529,-2.1529,0,493,0.96701,-0.01066,,,,,,,Regular,0.8003,0.6184
220.0,5.1387,-6.0545,-0.9158,536,1227,0.9649,-0.01185,,,,,,,Regular,0.7742,0.6001
225.0,0.7714,-4.0575,-3.2861,73,727,0.96172,-0.0132,,,,,,,Regular,0.754,0.5822
230.0,0.0,-2.3235,-2.3235,0,369,0.95814,-0.01463,,,,,,,Regular,0.7347,0.564
235.0,0.0,-8.8153,-8.8153,0,1237,0.95438,-0.01628,119.7,123.65,0.43,0.47,,1,Regular,0.7147,0.5464
240.0,0.0,-19.7828,-19.7828,0,2415,0.95043,-0.01856,115.25,118.7,0.48,0.52,0.01,1.7,Regular,0.6943,0.5316
245.0,2.5642,-8.4497,-5.8855,165,897,0.94626,-0.02118,110.75,113.55,0.56,0.58,0.04,2.2,Regular,0.6734,0.517
250.0,4.0819,-40.9497,-36.8678,239,3789,0.94184,-0.02408,105.65,108.55,0.62,0.65,0.04,2.05,Regular,0.6522,0.5021
255.0,1.6516,-18.1037,-16.4521,88,1448,0.93716,-0.02776,100.85,103.6,0.71,0.75,0.06,2.15,Regular,0.6305,0.489
260.0,1.4856,-57.2876,-55.802,72,3933,0.93218,-0.03245,96.15,98.7,0.83,0.87,0.08,2.45,Regular,0.6085,0.4777
265.0,0.0,-21.2973,-21.2973,0,1258,0.92686,-0.03786,91.1,93.7,0.97,1.01,0.1,2.3,Regular,0.5862,0.4664
