strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
300.0,0.0,0.0,0.0,0,0,0.99871,0.0,,,,,,,Regular
305.0,0.0,0.0,0.0,0,0,0.99848,0.0,,,,,,,Regular
310.0,0.0,0.0,0.0,0,0,0.99822,-1E-05,,,,,,,Regular
315.0,0.0,0.0,0.0,0,0,0.99792,-1E-05,,,,,,,Regular
320.0,0.0,0.0,0.0,0,0,0.99758,-1E-05,,,,,,,Regular
325.0,0.0,0.0,0.0,0,0,0.9972,-1E-05,,,,,,,Regular
330.0,0.0,0.0,0.0,0,0,0.99677,-2E-05,,,,,,,Regular
335.0,0.0,0.0,0.0,0,0,0.9963,-3E-05,,,,,,,Regular
340.0,0.0,0.0,0.0,0,0,0.99577,-4E-05,,,,,,,Regular
345.0,0.0,0.0,0.0,0,0,0.99518,-5E-05,,,,,,,Regular
350.0,0.0,0.0,0.0,0,0,0.99453,-7E-05,,,,,,,Regular
355.0,0.0,0.0,0.0,0,0,0.99382,-9E-05,,,,,,,Regular
360.0,0.0,0.0,0.0,0,0,0.99303,-0.00011,,,,,,,Regular
365.0,0.0,0.0,0.0,0,0,0.99218,-0.00015,,,,,,,Regular
370.0,0.0,0.0,0.0,0,0,0.99196,-0.00017,,,,,,,Regular
375.0,0.0,0.0,0.0,0,0,0.99174,-0.00019,,,,,,,Regular
380.0,0.0,0.0,0.0,0,0,0.99151,-0.00022,,,,,,,Regular
385.0,0.0,0.0,0.0,0,0,0.99127,-0.00025,,,,,,,Regular
390.0,0.0,0.0,0.0,0,0,0.99104,-0.00027,,,,,,,Regular
395.0,0.0,0.0,0.0,0,0,0.99079,-0.0003,,,,,,,Regular
400.0,0.0,0.0,0.0,0,0,0.99054,-0.00033,,,,,,,Regular
405.0,0.0,0.0,0.0,0,0,0.99028,-0.00036,,,,,,,Regular
410.0,0.0,0.0,0.0,0,0,0.99002,-0.00039,,,,,,,Regular
415.0,0.0,0.0,0.0,0,0,0.98975,-0.00041,,,,,,,Regular
420.0,0.0,0.0,0.0,0,0,0.98947,-0.00045,,,,,,,Regular
425.0,0.0,0.0,0.0,0,0,0.98919,-0.00048,,,,,,,Regular
430.0,0.0,0.0,0.0,0,0,0.9889,-0.00052,,,,,,,Regular
435.0,0.0,0.0,0.0,0,0,0.9886,-0.00056,,,,,,,Regular
440.0,0.0,0.0,0.0,0,0,0.9883,-0.0006,,,,,,,Regular
445.0,0.0,0.0,0.0,0,0,0.98798,-0.00064,,,,,,,Regular
450.0,0.0,0.0,0.0,0,0,0.98764,-0.00069,,,,,,,Regular
455.0,0.0,0.0,0.0,0,0,0.9873,-0.00073,,,,,,,Regular
460.0,0.0,0.0,0.0,0,0,0.98694,-0.00078,,,,,,,Regular
465.0,0.0,0.0,0.0,0,0,0.98658,-0.00085,,,,,,,Regular
470.0,0.0,0.0,0.0,0,0,0.9862,-0.00093,,,,,,,Regular
475.0,0.0,0.0,0.0,0,0,0.98581,-0.001,,,,,,,Regular
480.0,0.0,0.0,0.0,0,0,0.98542,-0.00108,,,,,,,Regular
485.0,0.0,0.0,0.0,0,0,0.98501,-0.00117,,,,,,,Regular
490.0,0.0,0.0,0.0,0,0,0.98458,-0.00125,,,,,,,Regular
495.0,0.0,0.0,0.0,0,0,0.98415,-0.00134,,,,,,,Regular
500.0,0.0,0.0,0.0,0,0,0.9837,-0.00144,,,,,,,Regular
505.0,0.0,0.0,0.0,0,0,0.98323,-0.00156,,,,,,,Regular
510.0,0.0,0.0,0.0,0,0,0.98276,-0.0017,,,,,,,Regular
515.0,0.0,0.0,0.0,0,0,0.98226,-0.00184,,,,,,,Regular
520.0,1.7697,0.0,1.7697,100,0,0.98175,-0.00199,,,,,,,Regular
525.0,0.0,0.0,0.0,0,0,0.98122,-0.00216,,,,,,,Regular
530.0,0.0,0.0,0.0,0,0,0.98068,-0.00238,,,,,,,Regular
535.0,0.0,0.0,0.0,0,0,0.98011,-0.00262,,,,,,,Regular
540.0,0.0,0.0,0.0,0,0,0.97953,-0.00287,,,,,,,Regular
545.0,1.4876,0.0,1.4876,67,0,0.97892,-0.00314,,,,,,,Regular
550.0,26.8265,0.0,26.8265,1153,0,0.97829,-0.00341,,,,,,,Regular
555.0,2.6591,0.0,2.6591,109,0,0.97763,-0.0037,,,,,,,Regular
560.0,0.0,0.0,0.0,0,0,0.97696,-0.00399,,,,,,,Regular
565.0,36.8362,0.0,36.8362,1371,0,0.97625,-0.00431,,,,,,,Regular
570.0,4.149,0.0,4.149,147,0,0.97551,-0.00467,,,,,,,Regular
575.0,4.4802,-131.935,-127.4548,151,13373,0.97475,-0.00508,,,,,,,Regular
580.0,7.0541,-123.3774,-116.3233,226,11291,0.97395,-0.00558,,,,,,,Regular
585.0,0.0,-108.2948,-108.2948,0,8940,0.97311,-0.00614,,,,,,,Regular
590.0,4.19,-270.1355,-265.9455,121,20180,0.97224,-0.00673,,,,,,,Regular
595.0,0.0,-117.8731,-117.8731,0,7992,0.97133,-0.00733,,,,,,,Regular
600.0,201.7191,-1026.8194,-825.1003,5232,63300,0.97037,-0.00797,,,,,,,Regular
601.0,0.0,-27.0835,-27.0835,0,1638,0.97018,-0.00811,,,,,,,Regular
602.0,0.0,0.0,0.0,0,0,0.96998,-0.00825,,,,,,,Regular
603.0,0.0,0.0,0.0,0,0,0.96978,-0.00839,,,,,,,Regular
604.0,0.0,-17.4102,-17.4102,0,994,0.96957,-0.00853,,,,,,,Regular
605.0,10.6341,-925.4209,-914.7868,261,51837,0.96937,-0.00867,,,,,,,Regular
606.0,0.0,-9.3886,-9.3886,0,516,0.96916,-0.00882,,,,,,,Regular
607.0,0.0,0.0,0.0,0,0,0.96895,-0.00896,,,,,,,Regular
608.0,0.0,0.0,0.0,0,0,0.96874,-0.00911,,,,,,,Regular
609.0,0.0,0.0,0.0,0,0,0.96853,-0.00926,,,,,,,Regular
610.0,17.7589,-1010.5352,-992.7763,412,51497,0.96832,-0.00941,,,,,,,Regular
611.0,0.0872,-9.1465,-9.0593,2,457,0.9681,-0.00957,,,,,,,Regular
612.0,0.0882,-6.9617,-6.8735,2,341,0.96788,-0.00974,,,,,,,Regular
613.0,0.0,-7.3506,-7.3506,0,353,0.96766,-0.00992,,,,,,,Regular
614.0,0.1354,0.0,0.1354,3,0,0.96743,-0.01009,,,,,,,Regular
615.0,8.6745,-2263.3388,-2254.6643,190,104503,0.96721,-0.01026,,,,,,,Regular
616.0,0.1848,-6.5815,-6.3967,4,298,0.96698,-0.01044,,,,,,,Regular
617.0,0.1402,-5.5174,-5.3772,3,245,0.96675,-0.01062,,,,,,,Regular
618.0,0.8984,-15.7056,-14.8072,19,684,0.96651,-0.01079,,,,,,,Regular
619.0,0.0957,-7.3752,-7.2795,2,315,0.96628,-0.01098,,,,,,,Regular
620.0,40.7338,-3773.2308,-3732.497,841,157972,0.96602,-0.01117,,,,,,,Regular
621.0,0.0491,0.0,0.0491,1,0,0.96564,-0.01137,,,,,,,Regular
622.0,0.0999,0.0,0.0999,2,0,0.96507,-0.01157,,,,,,,Regular
623.0,0.2543,0.0,0.2543,5,0,0.96445,-0.01177,,,,,,,Regular
624.0,0.1035,0.0,0.1035,2,0,0.96383,-0.01197,,,,,,,Regular
625.0,44.7258,-3503.488,-3458.7622,849,132796,0.96321,-0.01218,,,,,,,Regular
626.0,0.0536,-9.3638,-9.3102,1,348,0.96258,-0.01238,,,,,,,Regular
627.0,0.0,0.0,0.0,0,0,0.96195,-0.01259,,,,,,,Regular
628.0,0.0555,0.0,0.0555,1,0,0.96132,-0.01281,,,,,,,Regular
629.0,0.0,-6.0296,-6.0296,0,211,0.96068,-0.01304,,,,,,,Regular
630.0,64.0778,-299.7984,-235.7206,1116,10275,0.96003,-0.01329,,,,,,,Regular
631.0,0.0,0.0,0.0,0,0,0.95938,-0.01353,,,,,,,Regular
632.0,0.0,-14.7799,-14.7799,0,486,0.95872,-0.01378,,,,,,,Regular
633.0,0.0,-18.7196,-18.7196,0,603,0.95806,-0.01403,,,,,,,Regular
634.0,0.0,-25.0337,-25.0337,0,790,0.9574,-0.01428,,,,,,,Regular
