strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
300.0,0.0,0.0,0.0,0,0,0.9921,-0.00094,,,,,,,Regular
305.0,0.0,0.0,0.0,0,0,0.99164,-0.00098,,,,,,,Regular
310.0,0.0,0.0,0.0,0,0,0.99116,-0.00103,,,,,,,Regular
315.0,0.0,0.0,0.0,0,0,0.99068,-0.0011,,,,,,,Regular
320.0,0.0,0.0,0.0,0,0,0.99018,-0.00119,,,,,,,Regular
325.0,0.0,0.0,0.0,0,0,0.98968,-0.0013,,,,,,,Regular
330.0,0.0,0.0,0.0,0,0,0.98916,-0.00141,,,,,,,Regular
335.0,0.0,0.0,0.0,0,0,0.98863,-0.00152,,,,,,,Regular
340.0,0.0,0.0,0.0,0,0,0.9881,-0.00164,,,,,,,Regular
345.0,0.0,0.0,0.0,0,0,0.98755,-0.00176,,,,,,,Regular
350.0,0.0,0.0,0.0,0,0,0.98698,-0.00188,,,,,,,Regular
355.0,0.0,0.0,0.0,0,0,0.98641,-0.002,,,,,,,Regular
360.0,0.0,0.0,0.0,0,0,0.98582,-0.00213,,,,,,,Regular
365.0,0.0,0.0,0.0,0,0,0.98521,-0.00226,,,,,,,Regular
370.0,0.0,0.0,0.0,0,0,0.9846,-0.0024,,,,,,,Regular
375.0,0.0,0.0,0.0,0,0,0.98396,-0.00254,,,,,,,Regular
380.0,0.0,0.0,0.0,0,0,0.98332,-0.00268,,,,,,,Regular
385.0,0.0,0.0,0.0,0,0,0.98265,-0.00282,,,,,,,Regular
390.0,0.0,0.0,0.0,0,0,0.98197,-0.00299,,,,,,,Regular
395.0,0.0,0.0,0.0,0,0,0.98127,-0.00323,,,,,,,Regular
400.0,0.0,0.0,0.0,0,0,0.98056,-0.0035,,,,,,,Regular
405.0,0.0,0.0,0.0,0,0,0.97983,-0.00381,,,,,,,Regular
410.0,0.0,0.0,0.0,0,0,0.97907,-0.00413,,,,,,,Regular
415.0,0.0,0.0,0.0,0,0,0.9783,-0.00446,,,,,,,Regular
420.0,0.0,0.0,0.0,0,0,0.97751,-0.00479,,,,,,,Regular
425.0,0.0,-0.5188,-0.5188,0,103,0.97669,-0.00513,,,,,,,Regular
430.0,0.0,-1.8969,-1.8969,0,350,0.97586,-0.00549,,,,,,,Regular
435.0,0.0,-0.7742,-0.7742,0,133,0.97499,-0.00585,,,,,,,Regular
440.0,0.0,-1.1499,-1.1499,0,184,0.97411,-0.00623,,,,,,,Regular
445.0,0.0,-0.2691,-0.2691,0,40,0.97317,-0.00666,,,,,,,Regular
450.0,0.0,-80.8145,-80.8145,0,11167,0.97209,-0.00712,,,,,,,Regular
455.0,0.0,-0.5751,-0.5751,0,74,0.97095,-0.00758,,,,,,,Regular
460.0,0.0,-10.0773,-10.0773,0,1208,0.96978,-0.00807,,,,,,,Regular
465.0,0.0,-0.9607,-0.9607,0,107,0.96858,-0.00863,,,,,,,Regular
470.0,0.0,-19.229,-19.229,0,1988,0.96734,-0.00923,,,,,,,Regular
475.0,0.0,-7.2379,-7.2379,0,695,0.96606,-0.00987,,,,,,,Regular
480.0,0.0,-5.8722,-5.8722,0,523,0.96475,-0.01057,,,,,,,Regular
485.0,0.0,-3.7161,-3.7161,0,307,0.96339,-0.01132,,,,,,,Regular
490.0,0.0,-31.1838,-31.1838,0,2393,0.96199,-0.0121,,,,,,,Regular
495.0,0.0,-2.0751,-2.0751,0,148,0.96054,-0.01291,,,,,,,Regular
500.0,0.0,-89.7493,-89.7493,0,5939,0.95904,-0.01382,,,,,,,Regular
505.0,0.1217,-4.7391,-4.6174,4,291,0.95749,-0.01478,,,,,,,Regular
510.0,0.0,-13.2096,-13.2096,0,752,0.9558,-0.01583,,,,,,,Regular
515.0,0.0,-234.9155,-234.9155,0,12403,0.95371,-0.01694,,,,,,,Regular
520.0,0.0,-96.1076,-96.1076,0,4700,0.95146,-0.01816,,,,,,,Regular
525.0,0.0,-105.674,-105.674,0,4778,0.94915,-0.01952,,,,,,,Regular
530.0,0.0,-31.6916,-31.6916,0,1324,0.94675,-0.021,,,,,,,Regular
535.0,0.0,-18.7891,-18.7891,0,726,0.94427,-0.02255,,,,,,,Regular
540.0,0.0,-241.9528,-241.9528,0,8642,0.9417,-0.02423,,,,,,,Regular
545.0,0.0,-29.6153,-29.6153,0,975,0.93904,-0.02616,,,,,,,Regular
550.0,0.0,-283.8716,-283.8716,0,8613,0.93627,-0.02824,,,,,,,Regular
555.0,0.0,-22.1743,-22.1743,0,620,0.9334,-0.03049,,,,,,,Regular
560.0,10.4385,-108.5917,-98.1532,188,2798,0.93041,-0.0329,,,,,,,Regular
565.0,0.0,-32.9817,-32.9817,0,781,0.92727,-0.03568,,,,,,,Regular
570.0,4.4198,-63.8214,-59.4016,71,1388,0.92385,-0.03874,,,,,,,Regular
575.0,0.0,-268.4006,-268.4006,0,5365,0.92005,-0.04199,,,,,,,Regular
580.0,0.0,-215.0327,-215.0327,0,3949,0.91605,-0.04555,,,,,,,Regular
585.0,0.0,-229.2132,-229.2132,0,3860,0.9117,-0.0496,,,,,,,Regular
590.0,22.7786,-251.3709,-228.5923,287,3883,0.90651,-0.05398,,,,,,,Regular
595.0,0.0,-604.7299,-604.7299,0,8566,0.90095,-0.05879,,,,,,,Regular
600.0,45.8887,-1038.2761,-992.3874,509,13485,0.89516,-0.06405,,,,,,,Regular
605.0,0.0,-249.3389,-249.3389,0,2968,0.8891,-0.06987,,,,,,,Regular
610.0,28.5117,-546.7759,-518.2642,278,5962,0.88268,-0.07635,,,,,,,Regular
615.0,57.2837,-184.3786,-127.0949,523,1842,0.87558,-0.08342,,,,,,,Regular
620.0,33.713,-1952.4257,-1918.7127,288,17867,0.86783,-0.0913,,,,,,,Regular
625.0,0.0,-1858.6187,-1858.6187,0,15582,0.85952,-0.09998,,,,,,,Regular
630.0,84.1253,-669.175,-585.0497,628,5140,0.85027,-0.10968,86.84,87.94,4.06,4.11,,3.49,Regular
635.0,33.699,-287.4646,-253.7656,235,2024,0.84013,-0.1204,82.26,83.35,4.45,4.5,0.34,3.45,Regular
