
==> GET http://localhost:7001/App/Gex/Analysis?Symbol=QQQ&Refresh=true
    (barrido nuevo: puede tardar varios minutos)
    113s

==> Bid/ask de 122 strikes (244 legs) desde /Data/Tastytrade/MarketData/Quote
    20/122...
    40/122...
    60/122...
    80/122...
    100/122...
    120/122...

==> QQQ - 2026-09-18 - DTE 24 - REGULAR
    Spot 710,595   ATM IV 0,1971   Net GEX -58,4 B   Call Wall 750,0   Put Wall 700,0   ZGL 709,0
    Strikes: 267 en la cadena   |   Suma call 230.499,2 M | put -288.921,2 M | net -58.421,9 M

    GEX en millones de USD por 1% de movimiento  |  filas con |net| >= 20 M (146 de 267)
      STRIKE     CALL GEX      PUT GEX      NET GEX  CALL OI   PUT OI    C BID   C ASK   P BID   P ASK     PCS5    CCS5
         687        119,5       -748,6       -629,1      312    1.795    31,23   31,75    6,55    6,62     0,90    3,49
         688        144,9       -738,2       -593,2      372    1.734    30,36   30,94    6,76    6,83     0,93    3,36
         689         89,2       -300,9       -211,7      225      693    29,48   30,13    6,98    7,05     0,96    3,13
         690      5.941,4    -15.156,7     -9.215,4   14.723   34.231    28,74   29,32    7,20    7,28     0,99    3,30
         691        128,1       -493,8       -365,7      312    1.094    28,04   28,62    7,43    7,51     1,01    3,33
         692         87,7       -470,6       -382,9      210    1.023    27,30   27,74    7,67    7,74     1,05    3,35
         693        433,0     -1.696,7     -1.263,8    1.021    3.621    26,61   27,00    7,91    7,99     1,08    3,36
         694        942,6       -388,8        553,7    2.192      815    25,92   26,35    8,18    8,26     1,13    3,35
         695      1.519,4    -10.777,8     -9.258,4    3.485   22.193    25,32   25,44    8,43    8,51     1,15    3,47
         696         88,0       -332,0       -244,0      199      672    24,59   24,71    8,72    8,79     1,21    3,40
         697        132,7       -377,8       -245,1      296      752    23,82   23,95    8,99    9,07     1,25    3,30
         698        449,1       -679,9       -230,8      988    1.332    23,12   23,25    9,28    9,35     1,29    3,27
         699        136,0       -297,6       -161,7      295      574    22,45   22,57    9,58    9,66     1,32    3,26
         700     15.226,8    -56.143,7    -40.916,9   32.579  106.642    21,76   21,85    9,88    9,94     1,37    3,23
         701        236,7       -205,7         31,1      500      385    21,07   21,19   10,19   10,28     1,40    3,16
         702        297,1       -322,8        -25,7      620      596    20,40   20,52   10,52   10,60     1,45    3,12
         703        126,1       -439,3       -313,2      260      800    19,73   19,85   10,85   10,94     1,50    3,06
         704        168,9       -397,1       -228,2      344      714    19,07   19,19   11,20   11,29     1,54    3,02
         705      3.708,2     -7.571,6     -3.863,4    7.466   13.451    18,44   18,53   11,55   11,64     1,61    3,03
         706        309,2       -475,6       -166,4      616      835    17,80   17,91   11,92   12,01     1,64    2,92
         707        136,3       -430,1       -293,7      269      747    17,17   17,28   12,30   12,39     1,70    2,88
         708        349,4       -288,5         60,9      683      496    16,56   16,67   12,69   12,78     1,75    2,81
         710     22.050,6    -15.535,6      6.514,9   42.413   26.240    15,36   15,41   13,52   13,59     1,88    2,70
         711        606,4       -416,9        189,5    1.158      699    14,77   14,88   13,94   14,04     1,93    2,63
         712        517,7       -745,6       -227,9      982    1.241    14,19   14,29   14,40   14,50     2,01    2,56
         713        631,2       -970,7       -339,4    1.191    1.607    13,65   13,75   14,83   14,93     2,05    2,51
         714        439,7       -725,7       -286,0      826    1.196    13,06   13,17   15,32   15,41     2,14    2,40
         715      7.643,5     -7.041,3        602,2   14.301   11.557    12,57   12,66   15,79   15,87     2,20    2,41
         716        351,7       -325,8         25,9      656      533    12,05   12,14   16,28   16,38     2,24    2,31
         717      1.751,2       -674,0      1.077,2    3.258    1.101    11,54   11,63   16,78   16,88     2,28    2,24
         718        290,8       -574,7       -283,9      540      938    11,06   11,14   17,30   17,41     2,37    2,19
         719      2.390,2     -1.036,3      1.353,8    4.436    1.691    10,58   10,66   17,81   17,93     2,40    2,12
         720     11.418,9     -6.711,3      4.707,6   21.201   10.966    10,12   10,16   18,36   18,47     2,49    2,08
         721        729,8       -269,2        460,7    1.358      441     9,67    9,74   18,92   19,04     2,54    2,01
         722        589,0       -477,7        111,2    1.099      786     9,22    9,30   19,49   19,61     2,61    1,94
         723        451,4       -498,9        -47,5      845      825     8,79    8,87   20,07   20,19     2,66    1,87
         724        468,0       -682,5       -214,5      880    1.136     8,37    8,46   20,67   20,79     2,74    1,78
         725     12.791,6     -4.741,3      8.050,3   24.181    7.952     7,97    8,04   21,29   21,40     2,82    1,72
         726        808,8       -429,6        379,1    1.539      727     7,58    7,66   21,89   22,02     2,85    1,65
         727        353,6       -477,0       -123,4      678      816     7,21    7,28   22,53   22,65     2,92    1,60
         728        224,9       -167,4         57,4      435      290     6,85    6,92   23,13   23,26     2,94    1,54
         729        412,2       -181,7        230,6      805      319     6,53    6,59   23,80   23,92     3,01    1,51
         730     16.184,1     -5.399,8     10.784,3   31.928    9.626     6,19    6,25   24,19   24,68     2,79    1,44
         731        389,1       -261,8        127,3      777      475     5,86    5,93   24,97   25,41     2,95    1,38
         732        347,1       -305,0         42,1      703      564     5,55    5,61   25,64   26,11     2,99    1,32
         733      2.431,2       -356,0      2.075,3    4.997      672     5,25    5,31   26,31   26,83     3,05    1,26
         734        893,2       -219,5        673,7    1.864      424     4,96    5,02   27,11   27,63     3,19    1,20
         735      6.457,5     -2.827,2      3.630,4   13.697    5.599     4,69    4,75   27,89   28,32     3,21    1,16
         736        686,9        -77,7        609,2    1.484      158     4,42    4,48   28,47   29,14     3,06    1,09
         737        422,2          0,0        422,2      930        0     4,17    4,23   29,36   29,93     3,25    1,04
         738        353,3          0,0        353,3      794        0     3,93    3,99   30,01   30,69     3,18    0,99
         739        358,1        -26,0        332,0      822       58     3,70    3,76   30,88   31,49     3,25    0,94
         740     14.224,3     -2.046,3     12.178,0   33.408    4.728     3,48    3,53   31,70   32,29     3,38    0,90
         741        722,7          0,0        722,7    1.739        0     3,28    3,33   32,41   33,11     3,27    0,85
         742        316,9          0,0        316,9      782        0     3,08    3,13   33,40   33,86     3,47    0,81
         743        405,4        -18,4        387,0    1.027       48     2,89    2,94   34,13   34,70     3,44    0,76
         744        401,3       -372,8         28,5    1.045    1.017     2,71    2,76   35,04   35,55     3,55    0,72
         745      7.068,1     -1.382,8      5.685,3   18.943    3.955     2,54    2,58   35,79   36,44     3,50    0,68
         746        315,8          0,0        315,8      872        0     2,38    2,43   36,79   37,31     3,68    0,64
