strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
781.0,923.0629,-82.6837,840.3792,1634,128,0.35126,-0.67712,8.82,8.85,21.07,22.57,1.39,1.88,Regular
782.0,483.2422,0.0,483.2422,860,0,0.34088,-0.68896,8.42,8.45,21.69,23.22,1.45,1.81,Regular
783.0,313.6735,-51.8879,261.7856,562,82,0.33063,-0.70087,8.01,8.04,22.31,23.85,1.5,1.72,Regular
784.0,515.7224,0.0,515.7224,931,0,0.3204,-0.71266,7.63,7.66,23.06,24.51,1.69,1.66,Regular
785.0,1451.0915,-217.6408,1233.4507,2642,353,0.31022,-0.72428,7.26,7.29,23.22,25.15,1.32,1.59,Regular
786.0,230.0939,0.0,230.0939,423,0,0.30015,-0.73594,6.91,6.94,24.38,25.81,1.81,1.54,Regular
787.0,228.2322,0.0,228.2322,424,0,0.29011,-0.74749,6.58,6.61,26.21,26.55,2.99,1.49,Regular
788.0,270.191,0.0,270.191,508,0,0.28031,-0.75886,6.26,6.29,26.95,27.23,3.1,1.44,Regular
789.0,364.9526,-1.151,363.8016,695,2,0.27055,-0.76988,5.94,5.97,26.3,27.94,1.79,1.38,Regular
790.0,4964.7999,-60.8141,4903.9858,9586,108,0.2609,-0.78051,5.64,5.67,28.38,28.68,3.23,1.33,Regular
791.0,274.5349,-72.6362,201.8987,538,132,0.25136,-0.79112,5.35,5.37,27.48,29.42,1.67,1.27,Regular
792.0,207.3928,0.0,207.3928,413,0,0.24203,-0.80184,5.06,5.09,28.51,30.18,1.96,1.2,Regular
793.0,341.6025,0.0,341.6025,692,0,0.23285,-0.81246,4.79,4.82,30.63,30.95,3.4,1.15,Regular
794.0,338.8106,0.0,338.8106,699,0,0.22389,-0.82253,4.54,4.56,29.98,31.72,2.04,1.1,Regular
795.0,3166.8112,-9.8726,3156.9386,6660,20,0.215,-0.83241,4.29,4.31,31.03,32.52,2.35,1.05,Regular
796.0,522.2786,0.0,522.2786,1121,0,0.20636,-0.84192,4.06,4.08,31.58,33.32,2.16,,Regular
797.0,4940.4787,0.0,4940.4787,10834,0,0.19792,-0.85061,3.84,3.86,32.57,34.14,2.39,,Regular
798.0,740.5747,0.0,740.5747,1661,0,0.18969,-0.85915,3.62,3.64,33.15,34.97,2.2,,Regular
799.0,729.4195,0.0,729.4195,1675,0,0.18163,-0.86774,3.42,3.44,34.2,35.79,2.48,,Regular
800.0,3908.153,-208.6993,3699.4537,9198,505,0.17366,-0.87629,3.22,3.24,34.99,36.63,2.47,0.83,Regular
805.0,1490.1199,0.0,1490.1199,4031,0,0.13744,-0.91858,2.37,2.39,38.99,42.33,2.36,0.64,Regular
810.0,2598.3495,0.0,2598.3495,8290,0,0.1068,-0.95691,1.72,1.73,43.67,46.79,1.34,0.48,Regular
815.0,2935.5559,0.0,2935.5559,11321,0,0.0815,-0.98831,1.23,1.24,48.19,51.44,1.4,0.34,Regular
820.0,1864.5395,0.0,1864.5395,8871,0,0.06151,-0.99887,0.87,0.89,53.02,56.23,1.58,0.24,Regular
825.0,582.1955,0.0,582.1955,3476,0,0.04602,-0.99966,0.62,0.63,57.95,61.14,1.72,0.16,Regular
