strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
460.0,52.7875,0.0,52.7875,1800,0,0.08289,-0.95602,2.3,2.35,107.5,110.25,2.1,0.15,Regular
465.0,46.3062,0.0,46.3062,1697,0,0.07623,-0.96116,2.1,2.15,112.35,115.05,2.1,0.13,Regular
470.0,45.5824,0.0,45.5824,1792,0,0.07045,-0.96523,1.93,1.97,117.25,119.95,2.2,,Regular
475.0,43.3076,-19.3618,23.9458,1826,1210,0.06515,-0.96832,,,,,,,Regular
480.0,31.6273,0.0,31.6273,1429,0,0.06036,-0.97116,,,,,,,Regular
485.0,4.5314,0.0,4.5314,219,0,0.05612,-0.97394,,,,,,,Regular
490.0,8.6091,0.0,8.6091,445,0,0.05219,-0.97666,,,,,,,Regular
495.0,8.6929,0.0,8.6929,479,0,0.04881,-0.97935,,,,,,,Regular
500.0,106.0842,0.0,106.0842,6232,0,0.04564,-0.98202,,,,,,,Regular
505.0,4.1352,0.0,4.1352,259,0,0.04265,-0.98462,,,,,,,Regular
510.0,36.2153,0.0,36.2153,2405,0,0.04023,-0.98696,,,,,,,Regular
515.0,5.2319,0.0,5.2319,368,0,0.038,-0.98925,,,,,,,Regular
520.0,37.6242,0.0,37.6242,2804,0,0.03586,-0.99158,,,,,,,Regular
525.0,4.0979,0.0,4.0979,323,0,0.03392,-0.99399,,,,,,,Regular
530.0,5.1074,0.0,5.1074,425,0,0.03216,-0.99657,,,,,,,Regular
535.0,3.6025,0.0,3.6025,316,0,0.03056,-0.99903,,,,,,,Regular
540.0,5.0647,0.0,5.0647,468,0,0.02905,-0.99965,,,,,,,Regular
545.0,4.0694,0.0,4.0694,395,0,0.02774,-0.99967,,,,,,,Regular
550.0,24.5994,0.0,24.5994,2506,0,0.0265,-0.99969,,,,,,,Regular
555.0,0.1592,0.0,0.1592,17,0,0.02535,-0.9997,,,,,,,Regular
560.0,9.8631,0.0,9.8631,1104,0,0.02425,-0.99972,,,,,,,Regular
570.0,2.9889,0.0,2.9889,367,0,0.02221,-0.99974,,,,,,,Regular
580.0,2.6747,0.0,2.6747,360,0,0.02033,-0.99977,,,,,,,Regular
590.0,6.635,0.0,6.635,972,0,0.01879,-0.99979,,,,,,,Regular
600.0,23.3033,0.0,23.3033,3692,0,0.0175,-0.99981,,,,,,,Regular
610.0,0.0,0.0,0.0,0,0,0.0163,-0.99983,,,,,,,Regular
620.0,1.1339,0.0,1.1339,210,0,0.01514,-0.99984,,,,,,,Regular
630.0,8.9719,0.0,8.9719,1798,0,0.01404,-0.99985,,,,,,,Regular
640.0,0.0,0.0,0.0,0,0,0.01302,-0.99986,,,,,,,Regular
650.0,2.0384,0.0,2.0384,474,0,0.0122,-0.99987,,,,,,,Regular
660.0,0.4697,0.0,0.4697,117,0,0.01145,-0.99988,,,,,,,Regular
670.0,5.1273,0.0,5.1273,1370,0,0.01072,-0.99989,,,,,,,Regular
680.0,4.9994,0.0,4.9994,1435,0,0.01,-0.9999,,,,,,,Regular
690.0,0.8981,0.0,0.8981,277,0,0.00932,-0.9999,,,,,,,Regular
700.0,3.3445,0.0,3.3445,1102,0,0.00876,-0.99991,,,,,,,Regular
710.0,0.9265,0.0,0.9265,325,0,0.00826,-0.99992,,,,,,,Regular
720.0,0.431,0.0,0.431,161,0,0.00778,-0.99992,,,,,,,Regular
730.0,0.4392,0.0,0.4392,175,0,0.00731,-0.99993,,,,,,,Regular
740.0,0.188,0.0,0.188,80,0,0.00686,-0.99994,,,,,,,Regular
750.0,0.0,0.0,0.0,0,0,0.00645,-0.99994,,,,,,,Regular
760.0,0.0,0.0,0.0,0,0,0.00614,-0.99995,,,,,,,Regular
770.0,0.0,0.0,0.0,0,0,0.00586,-0.99995,,,,,,,Regular
780.0,0.0,0.0,0.0,0,0,0.00559,-0.99996,,,,,,,Regular
790.0,0.0,0.0,0.0,0,0,0.00533,-0.99996,,,,,,,Regular
800.0,0.0,0.0,0.0,0,0,0.00507,-0.99997,,,,,,,Regular
810.0,0.0,0.0,0.0,0,0,0.00484,-0.99997,,,,,,,Regular
820.0,0.0,0.0,0.0,0,0,0.0046,-0.99997,,,,,,,Regular
830.0,0.0,0.0,0.0,0,0,0.00438,-0.99998,,,,,,,Regular
840.0,0.0,0.0,0.0,0,0,0.00416,-0.99998,,,,,,,Regular
850.0,0.0,0.0,0.0,0,0,0.00398,-0.99998,,,,,,,Regular
860.0,0.0,0.0,0.0,0,0,0.00382,-0.99999,,,,,,,Regular
870.0,0.0,0.0,0.0,0,0,0.00369,-0.99999,,,,,,,Regular
880.0,0.0,0.0,0.0,0,0,0.00356,-0.99999,,,,,,,Regular
890.0,0.0,0.0,0.0,0,0,0.00344,-0.99999,,,,,,,Regular
900.0,0.0,0.0,0.0,0,0,0.00332,-0.99999,,,,,,,Regular
