simbolo,vencimiento,lado,ventana,fecha_medicion,dte,spot,atm_iv,em,w,banda_lo,banda_hi,pct_lado,xmed,xvalle,argmax,borde,delta_borde,k_delta_max,ata,spot_venc,cerro_mas_alla,toco
SPY,2013-02-16,PUT,2013-2017,2013-01-02,45,146.06,0.13195,6.767,1.353,140.65,142.0,23.82,927.464,0.658,145.0,140.65,0.2346,139.5,delta,152.11,0,0
SPY,2013-02-16,CALL,2013-2017,2013-01-02,45,146.06,0.13195,6.767,1.353,149.0,150.35,64.97,343.607,,150.0,150.35,0.24,151.15,delta,152.11,1,1
SPY,2013-03-16,PUT,2013-2017,2013-01-30,45,150.07,0.13194,6.953,1.391,144.61,146.0,21.38,3052.847,,145.0,144.61,0.2468,142.95,delta,155.83,0,0
SPY,2013-03-16,CALL,2013-2017,2013-01-30,45,150.07,0.13194,6.953,1.391,155.0,156.39,46.63,1174.125,,155.0,156.39,0.1318,154.83,banda,155.83,0,1
SPY,2013-04-20,PUT,2013-2017,2013-03-06,45,154.5,0.11244,6.099,1.22,149.78,151.0,23.58,1455.614,0.792,150.0,149.78,0.27,147.95,delta,155.48,0,0
SPY,2013-04-20,CALL,2013-2017,2013-03-06,45,154.5,0.11244,6.099,1.22,158.0,159.22,44.89,976.058,,159.0,159.22,0.1573,158.46,banda,155.48,0,1
SPY,2013-05-18,PUT,2013-2017,2013-04-03,45,155.23,0.12707,6.926,1.385,151.61,153.0,25.98,1386.504,0.953,153.0,151.61,0.3082,148.26,delta,166.94,0,0
SPY,2013-05-18,CALL,2013-2017,2013-04-03,45,155.23,0.12707,6.926,1.385,157.0,158.39,32.67,345.111,,163.0,158.39,0.3067,160.15,delta,166.94,1,1
SPY,2013-06-22,PUT,2013-2017,2013-05-08,45,163.34,0.12219,7.008,1.402,154.6,156.0,22.13,1894.923,,155.0,154.6,0.1499,156.42,banda,159.07,0,0
SPY,2013-06-22,CALL,2013-2017,2013-05-08,45,163.34,0.12219,7.008,1.402,165.0,166.4,74.0,467.939,,166.0,166.4,0.3117,168.0,delta,159.07,0,1
SPY,2013-07-20,PUT,2013-2017,2013-06-05,45,161.27,0.15634,8.853,1.771,157.23,159.0,27.78,118.411,0.747,158.0,157.23,0.3325,152.39,delta,169.17,0,1
SPY,2013-07-20,CALL,2013-2017,2013-06-05,45,161.27,0.15634,8.853,1.771,164.0,165.77,34.81,11.361,0.408,165.0,165.77,0.2722,167.39,delta,169.17,1,1
SPY,2013-08-17,PUT,2013-2017,2013-07-03,45,161.28,0.15634,8.853,1.771,156.23,158.0,24.04,198.811,,155.0,156.23,0.2851,153.21,delta,165.83,0,0
SPY,2013-08-17,CALL,2013-2017,2013-07-03,45,161.28,0.15634,8.853,1.771,166.0,167.77,31.41,9.279,,166.0,167.77,0.2048,167.9,delta,165.83,0,1
SPY,2013-09-21,PUT,2013-2017,2013-08-07,45,169.18,0.12707,7.548,1.51,164.49,166.0,24.62,6649.886,,165.0,164.49,0.2837,162.02,delta,170.72,0,1
SPY,2013-09-21,CALL,2013-2017,2013-08-07,45,169.18,0.12707,7.548,1.51,171.0,172.51,34.58,42.826,,175.0,172.51,0.3023,174.35,delta,170.72,0,1
SPY,2013-10-19,PUT,2013-2017,2013-09-04,45,165.75,0.14659,8.531,1.706,159.29,161.0,27.08,218.957,,160.0,159.29,0.255,157.07,delta,174.39,0,0
SPY,2013-10-19,CALL,2013-2017,2013-09-04,45,165.75,0.14659,8.531,1.706,170.0,171.71,45.28,86.195,,170.0,171.71,0.1922,171.52,banda,174.39,1,1
SPY,2013-11-16,PUT,2013-2017,2013-10-02,45,169.18,0.14658,8.707,1.741,164.26,166.0,25.52,160.25,,165.0,164.26,0.3006,160.49,delta,180.05,0,0
SPY,2013-11-16,CALL,2013-2017,2013-10-02,45,169.18,0.14658,8.707,1.741,171.0,172.74,33.22,58.689,,172.0,172.74,0.3223,175.05,delta,180.05,1,1
SPY,2013-12-21,PUT,2013-2017,2013-11-06,45,177.17,0.12219,7.602,1.52,169.48,171.0,21.31,1220.292,,170.0,169.48,0.1944,169.66,banda,181.56,0,0
SPY,2013-12-21,CALL,2013-2017,2013-11-06,45,177.17,0.12219,7.602,1.52,179.0,180.52,37.93,159.672,,180.0,180.52,0.3095,182.23,delta,181.56,1,1
SPY,2014-01-18,PUT,2013-2017,2013-12-04,45,179.73,0.11732,7.403,1.481,174.52,176.0,20.37,360.84,,175.0,174.52,0.2806,171.65,delta,183.64,0,0
SPY,2014-01-18,CALL,2013-2017,2013-12-04,45,179.73,0.11732,7.403,1.481,182.0,183.48,35.39,45.169,,183.0,183.48,0.2706,184.86,delta,183.64,1,1
SPY,2014-02-22,PUT,2013-2017,2014-01-08,45,183.52,0.10756,6.931,1.386,179.61,181.0,32.62,1496.675,,180.0,179.61,0.3002,176.41,delta,183.89,0,1
SPY,2014-02-22,CALL,2013-2017,2014-01-08,45,183.52,0.10756,6.931,1.386,187.0,188.39,38.27,33.571,,187.0,188.39,0.2314,188.84,delta,183.89,0,0
SPY,2014-03-22,PUT,2013-2017,2014-02-05,45,175.17,0.17097,10.516,2.103,169.9,172.0,33.68,401.63,0.434,170.0,169.9,0.3188,164.65,delta,186.2,0,0
SPY,2014-03-22,CALL,2013-2017,2014-02-05,45,175.17,0.17097,10.516,2.103,178.0,180.1,29.65,6.939,0.547,180.0,180.1,0.296,182.36,delta,186.2,1,1
SPY,2014-04-19,PUT,2013-2017,2014-03-05,45,187.75,0.11732,7.734,1.547,179.45,181.0,21.03,862.81,,180.0,179.45,0.1979,179.6,banda,186.39,0,0
SPY,2014-04-19,CALL,2013-2017,2014-03-05,45,187.75,0.11732,7.734,1.547,189.0,190.55,67.43,18.832,,190.0,190.55,0.3327,193.06,delta,186.39,0,0
SPY,2014-05-17,PUT,2013-2017,2014-04-02,45,188.88,0.11244,7.457,1.491,184.51,186.0,19.7,808.517,,180.0,184.51,0.298,181.37,delta,188.05,0,1
SPY,2014-05-17,CALL,2013-2017,2014-04-02,45,188.88,0.11244,7.457,1.491,190.0,191.49,36.62,11.668,,190.0,191.49,0.3599,194.28,delta,188.05,0,0
SPY,2014-06-21,PUT,2013-2017,2014-05-07,45,187.88,0.12219,8.061,1.612,183.39,185.0,21.17,2592.481,0.542,180.0,183.39,0.3041,179.85,delta,195.94,0,0
SPY,2014-06-21,CALL,2013-2017,2014-05-07,45,187.88,0.12219,8.061,1.612,194.0,195.61,40.33,9.578,0.443,194.0,195.61,0.1125,193.51,banda,195.94,1,1
SPY,2014-07-19,PUT,2013-2017,2014-06-04,45,193.19,0.10755,7.296,1.459,186.54,188.0,19.27,487.102,0.893,191.0,186.54,0.2327,185.51,delta,197.71,0,0
SPY,2014-07-19,CALL,2013-2017,2014-06-04,45,193.19,0.10755,7.296,1.459,195.0,196.46,48.82,43.04,0.488,195.0,196.46,0.2898,198.11,delta,197.71,1,1
SPY,2014-08-16,PUT,2013-2017,2014-07-02,45,197.23,0.09292,6.435,1.287,191.71,193.0,23.79,395.801,,192.0,191.71,0.2348,190.42,delta,195.72,0,1
SPY,2014-08-16,CALL,2013-2017,2014-07-02,45,197.23,0.09292,6.435,1.287,199.0,200.29,69.08,207.278,,200.0,200.29,0.3086,202.43,delta,195.72,0,0
SPY,2014-09-20,PUT,2013-2017,2014-08-06,45,192.07,0.14659,9.886,1.977,188.02,190.0,26.29,79.053,0.53,190.0,188.02,0.3495,181.97,delta,200.7,0,0
SPY,2014-09-20,CALL,2013-2017,2014-08-06,45,192.07,0.14659,9.886,1.977,197.0,198.98,30.99,27.539,,198.0,198.98,0.1694,198.46,banda,200.7,1,1
SPY,2014-10-18,PUT,2013-2017,2014-09-03,45,200.5,0.10755,7.572,1.514,193.49,195.0,21.44,191.68,0.52,195.0,193.49,0.2364,192.02,delta,188.47,1,1
SPY,2014-10-18,CALL,2013-2017,2014-09-03,45,200.5,0.10755,7.572,1.514,205.0,206.51,88.65,140.591,,205.0,206.51,0.1775,205.85,banda,188.47,0,0
SPY,2014-11-22,PUT,2013-2017,2014-10-08,45,196.64,0.13195,9.11,1.822,193.18,195.0,24.79,48.772,0.449,195.0,193.18,0.3505,187.3,delta,206.68,0,1
SPY,2014-11-22,CALL,2013-2017,2014-10-08,45,196.64,0.13195,9.11,1.822,199.0,200.82,36.26,57.821,0.364,200.0,200.82,0.3074,202.91,delta,206.68,1,1
SPY,2014-12-20,PUT,2013-2017,2014-11-05,45,202.34,0.13194,9.374,1.875,194.13,196.0,19.89,53.172,,195.0,194.13,0.2337,192.45,delta,206.52,0,0
SPY,2014-12-20,CALL,2013-2017,2014-11-05,45,202.34,0.13194,9.374,1.875,204.0,205.87,41.15,139.254,0.082,205.0,205.87,0.3388,208.74,delta,206.52,1,1
SPY,2015-01-17,PUT,2013-2017,2014-12-03,45,207.89,0.11244,8.207,1.641,198.36,200.0,20.62,197.658,0.412,200.0,198.36,0.1951,198.56,banda,201.63,0,1
SPY,2015-01-17,CALL,2013-2017,2014-12-03,45,207.89,0.11244,8.207,1.641,211.0,212.64,39.04,88.055,,212.0,212.64,0.2261,213.2,delta,201.63,0,1
SPY,2015-02-20,PUT,2013-2017,2015-01-06,45,199.82,0.17585,12.338,2.468,193.53,196.0,39.17,631.745,,196.0,193.53,0.3149,187.35,delta,211.24,0,0
SPY,2015-02-20,CALL,2013-2017,2015-01-06,45,199.82,0.17585,12.338,2.468,208.0,210.47,30.12,4.162,,210.0,210.47,0.1373,208.66,banda,211.24,1,1
SPY,2015-03-20,PUT,2013-2017,2015-02-03,45,204.84,0.15146,10.894,2.179,199.82,202.0,25.48,37.095,0.487,200.0,199.82,0.3369,193.07,delta,210.41,0,0
SPY,2015-03-20,CALL,2013-2017,2015-02-03,45,204.84,0.15146,10.894,2.179,208.0,210.18,28.19,6.84,,210.0,210.18,0.2795,211.96,delta,210.41,1,1
SPY,2015-04-17,PUT,2013-2017,2015-03-03,45,211.12,0.12219,9.058,1.812,204.19,206.0,16.79,285.082,0.401,205.0,204.19,0.2675,201.11,delta,207.95,0,1
SPY,2015-04-17,CALL,2013-2017,2015-03-03,45,211.12,0.12219,9.058,1.812,214.0,215.81,32.1,54.758,0.522,215.0,215.81,0.2573,216.69,delta,207.95,0,0
SPY,2015-05-15,PUT,2013-2017,2015-03-31,45,206.43,0.14658,10.624,2.125,198.88,201.0,29.95,134.685,,200.0,198.88,0.2586,196.1,delta,212.44,0,0
SPY,2015-05-15,CALL,2013-2017,2015-03-31,45,206.43,0.14658,10.624,2.125,210.0,212.12,41.3,28.299,,210.0,212.12,0.2683,213.6,delta,212.44,1,1
SPY,2015-06-19,PUT,2013-2017,2015-05-05,45,208.9,0.14171,10.394,2.079,204.92,207.0,31.11,85.057,0.36,205.0,204.92,0.3554,198.46,delta,210.81,0,0
SPY,2015-06-19,CALL,2013-2017,2015-05-05,45,208.9,0.14171,10.394,2.079,213.0,215.08,39.73,9.493,,215.0,215.08,0.2358,215.7,delta,210.81,0,0
SPY,2015-07-17,PUT,2013-2017,2015-06-02,45,211.36,0.12219,9.068,1.814,207.19,209.0,23.75,310.446,0.238,200.0,207.19,0.343,201.33,delta,212.47,0,1
