strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
50.0,0.0,0.0,0.0,0,0,0.99999,-0.0003,,,,,,,Regular
55.0,0.0,0.0,0.0,0,0,0.99999,-0.00035,,,,,,,Regular
60.0,0.0,0.0,0.0,0,0,0.99998,-0.00039,,,,,,,Regular
65.0,0.0,0.0,0.0,0,0,0.99996,-0.00044,,,,,,,Regular
70.0,0.0,0.0,0.0,0,0,0.99992,-0.0005,,,,,,,Regular
75.0,0.0,0.0,0.0,0,0,0.99986,-0.00056,,,,,,,Regular
80.0,0.0,0.0,0.0,0,0,0.99977,-0.00064,,,,,,,Regular
85.0,0.0,0.0,0.0,0,0,0.99965,-0.00071,,,,,,,Regular
90.0,0.0,0.0,0.0,0,0,0.99949,-0.00079,,,,,,,Regular
95.0,0.0,0.0,0.0,0,0,0.99929,-0.00087,,,,,,,Regular
100.0,0.0,0.0,0.0,0,0,0.99902,-0.00096,,,,,,,Regular
105.0,0.0,0.0,0.0,0,0,0.99864,-0.00105,,,,,,,Regular
110.0,0.0,0.0,0.0,0,0,0.99805,-0.00115,,,,,,,Regular
115.0,0.0,0.0,0.0,0,0,0.99727,-0.00126,,,,,,,Regular
120.0,0.0,0.0,0.0,0,0,0.99643,-0.00138,,,,,,,Regular
125.0,0.0,0.0,0.0,0,0,0.99556,-0.0015,,,,,,,Regular
130.0,0.0,0.0,0.0,0,0,0.99465,-0.00163,,,,,,,Regular
135.0,0.0,0.0,0.0,0,0,0.99373,-0.00178,,,,,,,Regular
140.0,0.0,0.0,0.0,0,0,0.99277,-0.00203,,,,,,,Regular
145.0,0.0,0.0,0.0,0,0,0.99178,-0.00232,,,,,,,Regular
150.0,0.0,0.0,0.0,0,0,0.99075,-0.00272,,,,,,,Regular
155.0,0.0,0.0,0.0,0,0,0.98968,-0.00316,,,,,,,Regular
160.0,0.0,0.0,0.0,0,0,0.9885,-0.00361,,,,,,,Regular
165.0,0.0,0.0,0.0,0,0,0.98698,-0.00409,,,,,,,Regular
170.0,0.0,0.0,0.0,0,0,0.98535,-0.00459,,,,,,,Regular
175.0,0.0,-0.6145,-0.6145,0,341,0.98365,-0.00511,,,,,,,Regular
180.0,0.0,-0.4984,-0.4984,0,245,0.98188,-0.00568,,,,,,,Regular
185.0,0.0,-0.7636,-0.7636,0,331,0.98004,-0.00635,,,,,,,Regular
190.0,0.0,-0.8666,-0.8666,0,332,0.97812,-0.00708,,,,,,,Regular
195.0,0.0,-0.8561,-0.8561,0,290,0.97612,-0.00789,,,,,,,Regular
200.0,0.0,-8.9332,-8.9332,0,2668,0.97402,-0.00883,,,,,,,Regular
205.0,0.2807,-0.7761,-0.4954,38,205,0.97182,-0.00984,,,,,,,Regular
210.0,0.0,-4.6965,-4.6965,0,1101,0.96951,-0.0109,,,,,,,Regular
215.0,0.0,-2.4819,-2.4819,0,516,0.96708,-0.0121,,,,,,,Regular
220.0,5.1808,-6.4883,-1.3075,531,1186,0.96452,-0.01359,,,,,,,Regular
225.0,0.0,-4.5508,-4.5508,0,732,0.96182,-0.01525,,,,,,,Regular
230.0,1.5575,-2.4379,-0.8804,133,344,0.95897,-0.01719,,,,,,,Regular
235.0,0.0,-10.0914,-10.0914,0,1238,0.95594,-0.01965,,,,,,,Regular
240.0,3.2327,-22.9381,-19.7054,229,2446,0.95232,-0.0225,,,,,,,Regular
245.0,0.7245,-9.3334,-8.6089,46,863,0.94679,-0.02588,,,,,,,Regular
250.0,3.8104,-44.5139,-40.7035,217,3568,0.94061,-0.02981,,,,,,,Regular
